,User_name,Review title,Review Rating,Review date,Review_body
10,andrewchristianjr,"A TRUE SOCIAL COMMENTARY ON HUMANITY, COMPETITION, AND AVARICE.",8/10,29 September 2021,"I genuinely enjoyed this show from beginning to end. A true social commentary on humanity, competition and avarice. When the carnage is occurring it's nail-biting and between the games you get compelling human drama - a fantastic addition to the ""kill game"" genre that seems to always be elevated by Korean talent behind and in front of the camera.
                
                    51 out of 112 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
11,ks-60500,Life is a game,7/10,25 September 2021,"Entertaining and demonstrating human nature via this drama. My conclusion is not to be poor otherwise become a chess from rich.
                
                    22 out of 61 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
12,dwp1948,An Excellent New Korean Series Concept Viewers Enjoy - Highly Recommended,10/10,24 September 2021,"09/23/2021 The first few episodes were fun to watch as they played out but as the series progressed, a more serious, ominous storyline starts to unfold due to viewers empatheticly connecting with a few of the characters facing uncertainty as the game continues, even possible death? I found the series in the overall really great, refreshingly new and well planned out as it unfolded. I hope that somehow the series will continue on into the future with many more seasons to come? A great show from my perspective!
                
                    71 out of 146 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
13,qui_j,Korean Soap Opera meets Hunger Games,8/10,6 October 2021,"This is an entertaining series from South Korea that embodies elements of Korean Soap Opera, Chinese Operatic acting and Japanese theater. It uses classical Chinese opera techniques such as the wide open eyes to portray fear and anger....and a lot of shouting.It uses ""Hunger Games"" as it's base and survival of the fittest as its main theme. The story is well crafted but unfortunately starts to lose its grip on reality by about episode 4. It then slides into a lot of moralizing and philosophical conversations that culminates in the final episode. It is set up for a second season (if one can judge from the final episode) but runs the risk of becoming very formula driven Have to agree with the other comments about the group of ""actors"" playing the VIPs. They obviously came cheap and might not even have been actors at all! Enjoyable for what it's meant to be!
                
                    34 out of 72 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
14,zhyarTheChosen,Woouuuughhhhh,9/10,6 October 2021,"I really loved this shot series best series of the uear no question asked but the ending kinda bad but overall fantastic.
                
                    17 out of 62 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
15,Xstal,The Court of Calamari...,8/10,14 October 2021,"A tentacular dystopian vision of the depths those deserted of luck will descend to in order to recover their losses. Combines schadenfreude shades aplenty alongside some outstanding performances while asking some questions you might not want to find an answer to.
                
                    9 out of 12 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
16,gianmarcoronconi,Beautiful,10/10,4 October 2021,"One of the most beautiful series I've ever seen, finished in a few days one episode led to another and the desire to follow the series increases more and more. The tension is built very well game by game and the main characters are really well developed.
                
                    24 out of 70 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
17,MadamWarden,SQUITE GOOD,7/10,9 October 2021,"Not sure about all the hype but certainly great fun and slickly made.Nothing really new in the plot. Rich bored gamblers making desperate humans kill each other for their enjoyment.I guess the difference between this and so many before is the excellent character development and talented acting. Direction, cinematography all good. I think Alice in Borderland was slightly more adventurous but this was certainly slicker.A great binge watch!
                
            
                    13 out of 32 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
18,gedikreverdi,Children's games have never been this exciting,8/10,11 October 2021,"I don't know if it's a must for Netflix shows to become lame at the very end. It became very far-fetched and melodramatic and Gi-hun signaled virtue the whole time as if he didn't get back to the game while he knew he had to kill people and as if he didn't cheat the old man at the marble game. I wish he just stood up and admitted what he did. His mother died and he helped the mother of the other finalist (that stabbed himself in the neck at the squid game) by giving her the money and then took the North Korean girl's brother from the orphanage and before flying to the US to see his daughter, he called the corporate again to make them pay back. And another thing is that the old man was in fact the Korean Jigsaw in the game. He was rich so he wanted to lose track of time just like he'd do when he was a child so he did all what he did. And he died at an empty flat right before the sleeping old drunk man in the street received help just like Gi-hun. He died a few seconds before midnight as if we needed more far-fetched stuff.I enjoyed the show except for the final episode. The idea and the execution was good and the acting didn't take me out of it except for the actors who play American guests. I like the characters and their background stories. And on top of all this, there's this amazing episode 6 so I rated it 8 out of 10.
                
            
                    2 out of 13 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
19,surfisfun,"first half decent, then it feel overstay.the games lost it appeals by 5th one",7/10,20 September 2021,"Decent set deco .Battle royal flavors.A bit long in runtime, especially after first half.Very bloody and gory at times.Addictive if thats your cup of tv tea.
                
                    61 out of 91 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
20,Horror_Flick_Fanatic,Fun Horror Show,7/10,7 October 2021,"I had fun binging for two days. It's seems like a mashup of the Hunger Games, Saw, Bond villains and wacky Asian reality game show. Very good character development. I felt I knew the characters well halfway in the series. The first two episodes are a little slow, then the show ramps up to speed. The last episode is a tear jerker. The weakest part, as many have said we're the VIPs. It wasn't that their acting was bad, it was the screenplay dialogue was poorly written.It's certainly a different kind of watch most Americans are not used to. But that's a good thing. Netflix makes it easier to watch foreign content so that our cultural bobble burst and we get more diversely made content from around the globe.
                
            
                    18 out of 41 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
21,Movi3DO,Intense and entertaining thriller,8/10,23 September 2021,"Fly Me to the Moon
Let me play among the stars
Let me see what spring is like on
A Jupiter and Mars
In other words, hold my hand
In other words, baby, kiss meNow imagine listen to that calming jazz melody, sipping some wine, and watching more than 400 people getting murdered playing some kid's games.A brand new Netflix Korean thriller. This is kinda like Korean version of Alice in Borderland. However, the twist to the familiar premise was amazing. Most of the games were incredibly nerve-racking. The first and fourth games were for sure my favorite. They made me grabbing my pillow, while showing cruel ways desperate people resorted to do to save themselves. Because of this, whenever the game started, I became excited and more thrilled.However, the characters were for the most part generic and categorical. Honestly I didn't care much for them, and just wanted the games to start. However, some of them actually had some sad stories, like the two girls in game number four. Then, near the end there's these English-speaking VIPs that were annoying as heck mostly because of the unnatural way they talked. I'm not sure why they had to speak like they are the final bosses. There's also a subplot about a cop, which didn't pay off well enough at the end.Overall, despite the straightforward characters, I still had an amazing time with this show. Pretty sure season 2 will be made because not everything was resolved. 8/10#**THIS PART IS SPOILER SO STOP OF DON'T WANT SPOILER**Well of course, game 4, the marble games, was the best one because the stuff that the characters pulled to fool the others were sad and shocking. Then game 1, red light green light, was shocking and fun. Probably the most nerve-racking one out of all of them. Then game 5, the jumping glass, was also intense as heck. Game 2 wasn't as intense, but still bloody. When it was revealed, I and the main guy realized how screwed he was. Then game 3, tug of war was fine, but the tricks were pretty surprising. Gotta equip those tools. Finally, game 6 was lackluster and didn't have as much impact as I wanted. It was over a bit too quickly and didn't feel special. But yeah, that's my ranking of all the rounds in this first season."
22,djurrepower,good,7/10,9 October 2021,"Most of the characters are very well written, sadly I can't say the same about the story. A lot of plotholes, and just overall sruff that didn't make sense. But apart from that, most aspects are pretty much fine. So all in all, an above average series but certainly not great or anything.7/10: good but not great.
                
                    13 out of 26 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
23,SoumikBanerjee25,The Writing Steals the Limelight here.,8/10,8 October 2021,"""You don't trust people because they are trustworthy. You do it because you have nothing else to rely on""Squid Game is thoughtful, provocative, and darn productive in every sense. Still, I would refrain from labeling it as some 'Masterpiece'. Contrary to popular belief, it's not perfect. Trust me, it has its fair share of flaws just like others do. Yes, there are certain areas where it beats all our expectations, especially compare to all those series that had shared similar concepts before; yet, the deficiencies are a bit difficult to disregard whatsoever.If you ask me to recapitulate my impression in a single sentence, I would say; this is a well-acted, terrifically communicated (albeit outstretched) piece of work that would have no complications in attaining its unique set of audience (and judging by the current numbers, it already gathered enough).I love how they upheld a certain amount of credibility and constancy in their dissertation throughout these nine episodes. All the Social/Political innuendo makes it even more so worthy I reckon. Even though I shouldn't be discussing all these in detail as I do not see myself sufficiently qualified to make an argumentative critique on the differences that are ever-present between Capitalist & Communist ideologies. Instead, I'm leaning towards a more humane/psychological side of it.All these characters, personalities, come alongside their own set of guilts, motivations, purposes; a fascinating take on the human psyche, that is relatable on so many levels. Thus, their persistence and misery convey absolute legitimacy. And if you dare to take a closer look, the revelations might shock and terrify, as this is nothing but a reflective image of the society we all live in.From deliberately exposing the survivalist, ruthless instincts that are embedded deep in our subconscious since the beginning of our kind to showcasing this horrible world that is fraught with Greed, Expectations, and Disparities. This series undoubtedly has tremendous depth in its underlying messaging, more than anybody could ever imagine.In the end, the show poses a stern challenge against the very foundation of humanity or should I say the moralities of it. Furthermore, it begs the question; what it takes to be a human being? And are we even entitled to call ourselves one?"
24,bshaef,"Overall, an excellent series",9/10,7 October 2021,"But there were some plot holes. The cop should have been caught ten times before he died but he magically escaped or the scene just went out.Also, I never understood the organ harvester, where he came from and how he was able to ply his trade...But I really enjoyed the series except of a couple of the later episodes where there was an inordinate amount of blah blah blah.
                
            
                    19 out of 46 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
25,aboalhyjaa,For those who didn't understand **,8/10,23 September 2021,"For those who did not understand the psychological projection of the series. Basically, The series discusses the brutality of the capitalist economy system in such a clever way that you'll definitely notice and say when you're watching ""that character is me!"".It is that under the dominance of the capitalist system all people are in a race to get money that only one person takes in the end. The same money that come from the blood and sweat of others.The capitalist system claims that there is equity And justice in the distribution of the wealth. And this is far from the truth.As for the big capitalists who control the big capitals and companies that run the entire process, money is no longer their pleasure. That they only find pleasure in people suffer.
                
                    81 out of 198 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
26,chunkylefunga,Hidden Gem,7/10,26 September 2021,"A pretty gripping show that has 7 solid episodes.Sadly it has one filler episode and falls apart a bit at the end, but for the most part it's a season that you can't stop watching.Definitely worth a watch and am recommending to my friends.Don't think it needs a second season but I imagine one will be made.
                
                    29 out of 53 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
27,Dragonborn64,Good Though Certainly Not Original,7/10,2 October 2021,"I mean, I'd say I liked The Hunger Games better - but not The Maze Runner. There's a real grimness to The Squid Games. Like The Platform. With every episode you're ground down deeper just like these poor saps who find themselves there. I liked it well enough though it was long and the characters pretty familiar to this genre. It does makes many apt comments about contemporary society - Ali's story is particularly sad as is Sae- Byeok's and the way we treat people just seeking a better life. I can't say I get the uproar of the series - Netflix's potential biggest- but it's worth a watch if you like dystopian stuff - and who doesn't?
                
                    28 out of 46 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
28,lareval,Great and addictive Netflix series,8/10,26 September 2021,"Perfect to binge watching, this series holds a gripping premise into a stunningly crafted, twisty plot full of turns and jaw dropping moments. While not really perfect, this is a perfectly fine Netflix entertainment. Totally recommended!
                
                    5 out of 23 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
29,AvionPrince16,Nice TV show with some great moments,8/10,8 October 2021,"Squid game is a great TV show and talk about a big problem in society and this is about money. The TV show talk about this theme trough all the episodes and how far will go someone without money and how far will go someone with money. I enjoyed the TV show: it have some great moments and heartbreaking sometimes. Some mysteries also and some big revelations. I enjoyed also the end who have more a psychological point and a different perspective of why they did all the stuff arround the squid game and i found it pretty believable and great to watch. I will recommend anyone to watch this TV Show. It was quite good.
                
                    7 out of 26 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
30,alcantaraj-16594,A BLOODY STORY THAT ISN'T FOR EVERYONE,10/10,26 September 2021,"""Squid Game"" is definitely a slow burn in its first 2 episodes (but they do give you a taste of what's to come). As for the rest of the season, you probably won't be able to stop watching thanks to its story, characters, thrills, twists, games and, of course, gore.
                
                    21 out of 58 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
31,PedroPires90,Well done,9/10,3 October 2021,"So intense, so well crafted, so many meanings, dramatic, sadistic, emotional...television doesn't get much better than this.
                
                    12 out of 39 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
32,paulwattriley,Different but the same,8/10,8 October 2021,"Its different but the same basically a different take on the violent game shows were nobody really wins. Episode 6 was the best episode. If there's a season two it needs to be the revenge.
                
                    1 out of 16 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
33,drpainters,Worth the watch,8/10,9 October 2021,"If you enjoy Korean movies then this is a must see. Has become a real hit, cool idea, interesting games and drama. Plenty of story to continue more seasons , I've got final 2 EPs left but have really enjoyed up to this point.
                
                    3 out of 16 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
34,svader,Brilliant,8/10,7 October 2021,"Typical Korean ott actionand some real life back stories thrown in for good measure.Was good to see a non Korean, Ali Abdul, in this.Thoroughly entertaining and a great distraction from all the madness in the world.
                
                    9 out of 32 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
35,colewaters,Must watch,10/10,13 October 2021,"Believe the hype this is one of the best shows to ever hit Netflix. Every episode gets better and better and the acting is spot on. The action scenes are beautiful the whole concept is crazy but in this case crazy works.
                
                    1 out of 8 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
36,shanayneigh,Mixtape algorithm,4/10,25 September 2021,"This show was like a mixtape of other (and better) shows. You can virtually see the Netflix algorithm in action: ""The capitalism parable in Parasite won an Oscar, so let's go with that. And people responded really well to the colorful uniforms and weird masks in Casa de Papel, so let's give people a chance to dress up as our characters on Halloween which will give the show free PR. Oh, and Battle Royale was really successful and influential, so let's pretty much steal that whole concept right down to the classical music and cheery female speaker!""The VIPs get a lot of flak for their acting in many reviews on IMDb, and rightly so. But let's be honest, the Korean actors are no better. This show is filled to the brim with bad Asian style overacting, something which is far too common in Korean and Japanese shows. The bad guy with the face tattoo is right out of some school play, and the guy in the lead is pulling faces like a madman. I have no idea who they are but I wouldn't be surprised if they originally are comedians. The best actor in the whole show is the main character's daughter and she's only in it for a couple of minutes.As per usual for a Netflix production the story is stretched very thin in order to make it nine hours (!) long."
37,AJ_McAninch,Over-hyped Netflix Production,6/10,5 October 2021,"Hype that will not stand up with time. This series does not measure up to the standards of good, much less great, Korean Drama. The cast is excellent, of course (except for the VIPs, though the inside joke on American actors is rich), but the plot is predictable from the beginning through to the end. From the moment 001 (the old man's number is a heavy-handed hint) showed up, the repetition mixed in with violence and gore was evident, and the outcome was always predictable.However. Blessings on Netflix for bringing international film to the world, especially during the pandemic. But don't try to own it, guys: just stream it.
                
            
                    88 out of 119 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
38,nicorip22,Good and original tv show,8/10,28 September 2021,"This tv show is very good to me, something different from what we are used to watch, for me is very original.
                
                    7 out of 32 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
39,backup-50362,"Overhyped, but then again, there's not alot of good shows nowadays",7/10,14 October 2021,"This is a great show to binge watch, even if it doesn't introduce anything all that new and original.The fact that it isn't American made means that it's one show that Netflix couldn't poison with its toxic political agendas. It's just the vision of its creators - and that's fresh nowadays.I know people complain about the ending, but if you watch Alice in Borderlands (which you should, it's also a great show, Japanese this time) you'll know what a bad ending really is. That show didn't end with any conclusion.But Squid Game, trust me, it will have more seasons due to its success, but even if it didn't, it ended nicely, pretty much answering most questions and delivering good conclusions to everything. If anything, I believe more seasons would ruin this, but let's see what happens.In any case, the hype is real, this is a good show you should watch, just don't expect groundbreaking character development or much originality. The characters are mostly cliches we've seen before, and so is the concept of deadly games.But, again, the standards are low nowadays, and this show is just captivating and interesting enough to raise above everything else there is to watch right now."
40,tesswysko,"The Further I Get In The Series, The More OBVIOUS It Becomes That This Is A DOPPELGANGER of ""Animal World!""",6/10,14 October 2021,"Animal World is in my top 10 all-time favorite movies, largely because it was truly an ORIGINAL plot & was so well executed! I love it for it's ORIGINALITY. The further along this series gets, the more I'm starting to enjoy it, but also it's becoming an IRREFUTABLE doppelganger of ""Animal World!"" From the debt, the transportation of the contestants, the Mom who's going into the hospital for serious health issues and he can't pay for it, the main character blowing his money on betting & being a child-like burden on his elderly Mom, signing away his Mom's house, the friend who betrayed him (when he knew what the candy-cutting game was) even knowing his friend will likely die and he had multiple opportunities to clue him in, the fact that they're way out on an island (cruise ship) where no one would expect them to be & couldn't find them, even to the organ harvesting! On AW, some losers were also used for live human experimentation! I'm pretty sure I've had the plot-twist figured out for the last few episodes, so they've hooked me enough to keep watching until I know if I'm right or wrong. It's a GREAT idea for a movie/show, so I can understand why someone would want to do something SIMILAR, but do it CREATIVELY DIFFERENT! Especially with a 9 episode show, you have the opportunity & air time to take the idea and run with it! Don't use a movie like a precise blueprint, that's just plagiarism! So, because i love the premise so much, I'm hooked and have to see it to the end, even if it irritates me!
                
            
                    2 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
41,sriramthestranger,Terrific survival drama!!,9/10,4 October 2021,"The plot is similar to SAW and LOST. But,the Korean makers have given enough depth to the characters in this web series, that you feel for the characters even though it is predictable. There are enough shock value moments that keeps you hooked. Worth binge watching!!
                
                    12 out of 27 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
42,mikeiskorn,Wow,8/10,12 October 2021,"This is the first Korean drama I've watched while I was absolutely blown away. There were a couple of moments where I thought the story dragged a little, however it was all added for tension I'm sure. It was absolutely stunning to look at and really well done. I can't wait to see what happens in the next series.
                
                    2 out of 9 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
43,efd-10467,"Only up to Ep 3, after multiple attempts get going",5/10,13 October 2021,"The talk and reviews have me bewildered, I'm only up to Ep3 but am struggling after about 5 attempts to start bingeing.I find it boring and really childish, with pretty ordinary acting.The set design, art direction and general production values are very 1970's.Two more attempts then I'll give up.
                
                    12 out of 18 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
44,root_king,Great show,8/10,15 October 2021,"Great show. Korean drama that is perceivable for N. American Audience. Similar story attempts have been made in the past, but this one has a great blend of Drama with a little unpleasantries.
                
                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
45,pranayjalvi,"An innovative concept, but finished a bit hastily",7/10,3 October 2021,"Squid Game had one of the best concepts, with mystery around few people who participates in a game with millions to win. The story is simple yet creative and it works most of the entire series.The start was strong, with violence and bloodshed during the games which built an intense environment to leave us guessing what would happen next.The story went through well with a good last episode as well. But it still felt that it was not finished as it should have been ended, with an open ending hinting for Season 2 (Although I would have preferred this to end in a single season).
                
                    13 out of 24 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
