Date,Search,Tweet,Likes,Shares
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","Squid Game this and Squid Game that… Splatoon 3 doesn’t have a release date, calm down everyone.",35,7
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Idk what the squid game ur all talking abt is but one time since I was in the smart kid program in first grade we were dissecting squids and I wanted to cut its eye open but they wouldn’t let me so I did it anyway and I had to see the school therapist,64,4
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",when you’re in bass and hear the squid game music,17,1
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",finally tuned into squid game and i would have EASILY died first game :/,8,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",and also i finished squid game and umm yhm uh yeah,9,1
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","Just finished Squid Game and I have one thing to say to you, Hwang Dong-hyuk: You absolutely ruined me. I will never be the same again",62,4
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",y'all playing squid game bae and i playing squirt game,11,4
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","I just finished watching squid game on Netflix and I gotta say, it was good. I would recommend for you guys to watch. #NetflixWatchClub",10,4
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",me when I’m the doll in squid game and I’m looking back to catch people,8,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","Space At 11, We Talking Squid Game, R Kelly And The Pros/Cons Of Putting Out On The First Date",11,6
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","Finally found out about Squid Game and I’m just saying these guys…
My  a e s t h e t i c",18,1
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",lo and aeslynn watch squid game: a compilation(squid game spoilers!!!),4,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",im trying to make those honeycombs from squid game and its a lot harder than i expected 😭,7,1
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",y'all is squid game dubbed bad? because i physically cannot do subtitles like if i stumble on ONE word I'll get overwhelmed and fart and if that happens I'll get embarrassed and sit in the middle of Hollywood boulevard until someone hits me with a semi truck i just can't do it!!,133,2
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",When more and more people watch Alice in Borderland bc of Squid Game and then that's not enough and they want more shows like that and they find out about Sweet Home and Beyond Evil and Dohyun and Jingoo get their moment of glory,11,1
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","Alright just finished Squid game and icl it is one of the best serie I ever watched .
I know many of you already saw that theory but what if Cho sang-woo would of choosed the red card instead of the red one ?
Would he woke up as a soldier instead of a player ?
Go watch it",7,1
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",And roblox is a kids game ?….. WHY THEY PLAYING SQUID GAMES AND HAVE THEM GETTING SHOOT…. YALL LMFAOOOOOO,8,1
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Last episode of Squid Game and I’m so pissed. What???????!,15,5
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",they can’t put me in the squid game im literally neurodivergent and a minor,33,2
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","squid game success is proof that watching non-english speaking things isn’t hard and people should watch more non-english things and not just when somethings popular, some of the best films i’ve seen aren’t english and it’s sad that people miss out just coz they cba",23,7
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","i swear if i watch this squid game show and it’s shit, i’m slapping everyone i saw hype it",8,3
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",my mom didn’t want to watch squid game so i told her gong yoo’s in it and now she’s watching it 🙄,72,5
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Just finished watching the first episode of squid game and I’m literally shaking what the fuck was that. Idek if I’ll be able to finish it,11,1
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Squid Game is insanely good and you should stop being an idiot and watch it right now.,74,4
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",first episode of squid game and nggas already getting sh0t up omg,12,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Squid game episodes and then I get to see her😍. Today’s a good day❤️,14,1
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","i only just started watching squid game and realised it is not, in fact, splatoon",72,2
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","finished up the Squid Game and was disappointed to learn the title game was not actually Splatoon

pretty good show tho",19,1
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Ok I’ll bite who is this squid and what game is he into?,9,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","to anyone who is watching or wants to watch squid game, there is a site that shows all the triggers and i found one for squid game, i hope this helps :] (THIS SITE DOES CONTAIN TINY SPOILERS, JUST TO VAGUELY DESCRIBE THE TRIGGER)",6,4
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","So I binged watched Squid Game today and I can confidently say I would not make it past “Red Light, Green Light” 😭",6,2
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","Just finished rewatching squid game and I’m starting to see that I think a lot of people are latching onto the story bc 1. Bright colourful games+gore is always a winning combo, and 2.the themes and arcs are delivered in a very…high school English class way",4,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Just finished Squid Game. Fck Sang-woo and ima need Season 2,33,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",6:30pm time to get into bed and watch squid game,20,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Stop asking why everyone is watching Sopranos and start asking why isn’t everyone watching Squid Game,26,2
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","finished squid game and dont think of anything at all omg.. after high & low parasite etc these social critiques of chaebol domination rly dont touch me 
thought it was executed pretty badly in some parts too",4,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",me when i watch squid game and they start playing a game,4,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",heres an idea just enjoy both squid game and alice in borderland they are both good shows 😐,11,1
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","people keep talking about this ""squid game"" and I'm just like yeah, haha man, woomy!!",4,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",forgot i’m still a jojo fan tbh cookie run and bleach and squid game have blinded me,7,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",ppl who made fun of me for watching kdramas bc of the language barrier and are now watching squid game and following the cast…just know that you’re on thin THIN ice!,11,1
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Korean filmmakers do an awesome job at highlighting social hierarchy and wage disparity in their storylines. Squid Game reminds me so much of the movie Parasite!,11,2
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",pulling up to squid game and yelling “it smells like broke in here”,5,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",not at me opening netflix being like “oh i should really finish squid game now” and not even 2 minutes later am suddenly rewatching homecha ep10,18,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Believe the hype on squid game.. 3 episodes in and holy crap lmao,15,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",i just finished squid game and i don’t know what to think 😃,14,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",I just started watching Squid Game and I thought it was a reality show?? I am so relieved??,23,1
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",on episode 1 of squid game and the man slapping the guy in the train station… let me get a bite,9,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",I’m not seeing many differences from Squid Game and real life tbh...,9,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Okay squid game is really good and HoYeon Jung is immaculate.,65,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",just finished rewatching squid game and am i the only one who cringed everytime one of the vips spoke? acting was ass 😭,14,1
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",i’m watching squid game and this whole time i thought it was a reality tv show,6,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Just started squid game and I have to say it's interesting.,7,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",just finished squid game and WHAT THE FUCK is wrong with y'all people for wanting jennie to be in season 2???!!!! Y'ALL WANT TO SEE HER D!E??????,13,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",squid game spoilers NOOOOO ALI AND JI-YEONG I HATE YOU SQUID GAME,4,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",I wanna watch squid game and play genshin so bad but I have no wifi 🥲,4,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",finally finished squid game and all i have to say is that's how i know y'all gay DOWN because the edits on the tl had me convinced there was a lesbian subplot only for jiyeong to be a character of the day😭,7,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Okay so I kept hearing about Squid Game and thought people were talking about splatoon and was very confused. 🤣,6,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",just started watching squid game and man!,5,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","Everyone keeps talking about something called squid game and my dumb alligator brain keeps thinking ""did nintendo make an M rated splatoon?""",4,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","If you watch episode 6 of Squid Game and feel nothing, you're as emotionally dead as Lady Grey.",7,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","GIESS WHAT- I played a squid game inspired game on roblox💚 video up on my channel!
Like and retweets appreciated😳
#Roblox #SquidGame",18,2
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Thirsty squid game tweets and tik toks >>>>>>>> sad squid game tweets and tik toks,1,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Gonna play smash bros and watch squid game while eatin snackos w my best friend b4 I leave excited to see my bro before I gooo and I hear squid game good,2,1
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",There's a guy in Time Square dressed as the recruiter from Squid Game that plays that red and blue envelope game and he slaps you if he wins lmao,6,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",i’m on ep 5 of squid game and i’m scared to start ep 6,8,1
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",just started episode six of squid game and i’m already in TEARS,7,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Korean dramas are so good if you watched squid game and liked it watch Alice in borderland,4,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",i’m peacefully making my way through squid game and y’all KEEP POSTING SPOILERS smh i’m gonna have to log off twitter until i’m done,7,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",okay what is squid game and why r people freaking out about it. i’ve been in the dark too long. is it a video game ???? what is it.,5,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","watching squid game and i love how it touches on my two favorite horror tropes, which are Rich People Are Monsters and Cops Won't Save You",9,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",okay finished squid game and i know its bc they want a s2 but dhsjskkc like is he dumb fr like he can't wait until he saw his daughter? it happens every year bro like what do u think ur gunna do 😭,13,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","Help I might finish this squid game atz art today if I can and I'm actually really excited for it !!! 

Sometimes you draw something and turns out exactly how you want and I think thats serotonin",28,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","Simple supply and demand. Squid Game is trending, audiences want Squid Game content, so people make it. Same concept as YouTube. Audiences dictate what “quality” means, not the other way around. These games are so successful right now because that’s what people want to play.",381,12
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Another good show on Netflix rn is midnight mass. That and Squid Game are my top 10 shows of all time,26,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Yes!!! Please put it on tiktok dont put kpop or bts or army as hashtag just squid game and fyp,61,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",I normally can't handle blood/gore in the slightest but for Squid Game I sat and screamed through it and it was worth it 😤 !!! glad you're enjoying it!,2018,12
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","Everyone will say Squid Game - and they’re right, especially if you are a fan of The Prisoner. It has a similar vibe and is stylised in a way you’d hope would be applied to a remake.",8,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",alright watched squid game and 67 has my heart forever,4,0
