Cbsa,Region,maincity,msa,score_sdgi,rank_sdgIndex,score_sdg1,score_sdg2,score_sdg3,score_sdg4,score_sdg5,score_sdg6,score_sdg7,score_sdg8,score_sdg9,score_sdg10,score_sdg11,score_sdg12,score_sdg13,score_sdg15,score_sdg16,n_sdg1v1_poverty,n_sdg1v2_childpoverty,n_sdg1v3_workingpoor,n_sdg1v4_sickleave,n_sdg1v5_famleave,n_sdg2v1_foodinsc,n_sdg2v3_foodaccess,n_sdg2v4_obesity,n_sdg3v1_infantmort,n_sdg3v2_trafficdeath,n_sdg3v4_NCD,n_sdg3v6_mentalhealth,n_sdg3v7_overdose,n_sdg3v8_lifeExpectancy,n_sdg3v9_healthinsurance,n_sdg4v2_preschool,n_sdg4v3_tertiaryed,n_sdg4v4_HSgrad,n_sdg4v5_schoolpov,n_sdg5v1_wagegap,n_sdg5v2_wbusiness,n_sdg5v4_womeningov,n_sdg6v1_waterviolation,n_sdg6v3_domesticwatercapita,n_sdg6v4_waterreleasechange,n_sdg7v1_energyburden,n_sdg7v2_renewableprod,n_sdg7v3_renewablecons,n_sdg8v1_GDPgrowth,n_sdg8v2_neets,n_sdg8v3_unemployment,n_sdg9v1_STEMjobs,n_sdg9v2_patents,n_sdg9v3_broadband,n_sdg10v2_gini,n_sdg10v3_upwardmobility,n_sdg10v5_nativeemploy,n_sdg10v7_segregation,n_sdg10v8_MEIscore,n_sdg11v1_overcrowding,n_sdg11v2_sustainabletransit,n_sdg11v3_parkaccess,n_sdg11v4_PM25,n_sdg11v5_rentburden,n_sdg12v1_ozone,n_sdg12v3_toxicRelease,n_sdg12v4_airreleasechange,n_sdg13v1_GHGcapita,n_sdg13v2_climateaware,n_sdg13v3_adaptationplan,n_sdg15v1_parkarea,n_sdg15v2_naturalpark,n_sdg15v4_landreleasechange,n_sdg16v1_incarcerationrate,n_sdg16v2_prisonadmission,n_sdg16v5_firearmdeath,n_sdg16v6_nonwhitegov,sdg1v1_poverty,sdg1v2_childpoverty,sdg1v3_workingpoor,sdg1v4_sickleave,sdg1v5_famleave,sdg2v1_foodinsc,sdg2v3_foodaccess,sdg2v4_obesity,sdg3v1_infantmort,sdg3v2_trafficdeath,sdg3v4_NCD,sdg3v6_mentalhealth,sdg3v7_overdose,sdg3v8_lifeExpectancy,sdg3v9_healthinsurance,sdg4v2_preschool,sdg4v3_tertiaryed,sdg4v4_HSgrad,sdg4v5_schoolpov,sdg5v1_wagegap,sdg5v2_wbusiness,sdg5v4_womeningov,sdg6v1_waterviolation,sdg6v3_domesticwatercapita,sdg6v4_waterreleasechange,sdg7v1_energyburden,sdg7v2_renewableprod,sdg7v3_renewablecons,sdg8v1_GDPgrowth,sdg8v2_neets,sdg8v3_unemployment,sdg9v1_STEMjobs,sdg9v2_patents,sdg9v3_broadband,sdg10v2_gini,sdg10v3_upwardmobility,sdg10v5_nativeemploy,sdg10v7_segregation,sdg10v8_MEIscore,sdg11v1_overcrowding,sdg11v2_sustainabletransit,sdg11v3_parkaccess,sdg11v4_PM25,sdg11v5_rentburden,sdg12v1_ozone,sdg12v3_toxicRelease,sdg12v4_airreleasechange,sdg13v1_GHGcapita,sdg13v2_climateaware,sdg13v3_adaptationplan,sdg15v1_parkarea,sdg15v2_naturalpark,sdg15v4_landreleasechange,sdg16v1_incarcerationrate,sdg16v2_prisonadmission,sdg16v5_firearmdeath,sdg16v6_nonwhitegov
12580,3,Baltimore,"Baltimore-Columbia-Towson, MD",50,37,58,38,43,48,48,65,21,48,48,47,54,76,73,56,30,62,48,79,100,0,35,46,33,38,59,40,59,0,28,75,24,64,63,39,44,52,49,13,82,100,36,20,6,26,64,54,88,14,43,56,27,21,47,86,83,20,52,100,14,45,95,86,53,66,100,30,40,98,0,29,11,80,10,7,2,1,0,12,19,30,8,8,415,4,43,78,95,50,43,86,30,78,43,31.58,69,66,-20,33,21,5,1,11,5,16,4,75,0,39,1,53,89,2,18,60,8,50,0,1134029,-15,10,74,1,10,37,6,933,305,13,9
14260,4,Boise City,"Boise City, ID",50,38,30,41,60,27,35,72,67,67,51,54,50,56,30,65,47,47,57,47,0,0,29,46,47,70,42,74,48,83,58,47,8,27,3,68,17,53,,84,32,100,38,96,68,60,61,80,50,73,29,38,62,72,32,65,76,5,47,100,21,47,95,25,71,20,0,26,71,99,36,9,96,,13,6,4,0,0,13,19,28,5,10,321,4,12,80,90,39,28,77,16,67,43,,13,139,-20,32,96,27,3,12,4,13,17,68,0,43,1,58,73,2,12,57,10,46,0,1223116,3,7,66,0,9,65,-11,314,392,2,
10740,4,Albuquerque,"Albuquerque, NM",50,39,26,40,43,21,60,88,26,40,36,57,53,59,80,96,23,32,45,53,0,0,17,28,77,58,20,61,34,31,37,63,11,34,0,37,63,72,44,89,80,94,62,1,15,15,53,52,64,21,25,49,32,56,83,67,80,12,61,100,12,55,99,24,67,74,100,92,97,99,0,34,48,10,16,8,3,0,0,15,25,24,6,13,357,4,26,79,93,42,31,70,31,85,46,30.00,9,70,-3,20,2,9,1,13,5,14,6,67,0,39,1,41,74,2,15,68,8,51,0,368348,3,8,75,1,24,89,-6,606,285,8,39
37980,1,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",50,40,73,39,43,47,27,68,18,51,45,45,55,42,72,70,49,48,47,73,100,100,27,38,52,42,67,49,33,0,35,74,36,67,72,15,33,7,42,24,86,95,46,1,6,36,75,41,68,23,42,14,44,31,37,100,82,29,52,99,13,42,41,44,51,66,100,45,64,100,0,53,57,87,13,8,2,1,1,13,21,28,7,7,392,4,37,79,95,58,44,87,42,73,35,29.17,60,61,-5,28,2,6,2,10,5,14,6,74,0,41,1,57,100,2,22,61,11,51,0,13850459,-3,11,74,1,13,59,-17,1012,204,7,6
16740,3,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",50,41,54,36,49,44,55,87,28,64,28,45,43,63,31,65,51,52,55,64,0,100,23,43,41,55,39,52,53,59,36,49,15,60,70,30,28,38,100,91,77,94,40,30,15,57,73,63,33,11,38,33,0,69,71,54,78,6,8,100,24,60,85,43,59,36,0,7,89,99,0,50,68,85,12,6,3,0,1,14,20,29,6,11,384,4,19,79,90,44,41,87,34,71,40,58.33,7,75,-2,31,31,9,3,10,4,11,4,73,0,36,1,45,64,2,13,25,9,45,0,3597326,-2,9,68,0,4,81,-5,752,218,5,6
15980,3,Cape Coral,"Cape Coral-Fort Myers, FL",49,42,32,40,52,21,60,91,27,58,20,40,30,75,56,99,42,54,43,63,0,0,28,26,67,55,16,74,51,45,87,33,19,8,18,40,48,31,100,97,76,100,29,42,10,63,64,48,4,13,42,32,29,81,37,22,77,8,17,,17,65,100,60,47,21,100,,,99,0,54,74,41,12,8,3,0,0,13,26,25,6,14,322,4,22,82,87,46,21,79,29,79,39,50.00,2,75,-21,36,42,7,4,11,5,8,4,74,0,39,1,57,39,2,13,32,,49,0,54752,-7,11,66,1,,,-6,1079,200,5,26
29820,4,Las Vegas,"Las Vegas-Henderson-Paradise, NV",49,43,27,52,41,23,51,80,62,45,18,70,48,61,36,87,41,42,40,54,0,0,28,70,57,63,48,34,13,48,39,41,3,16,46,26,57,55,40,99,40,100,58,98,32,52,46,37,0,24,31,42,36,71,100,100,56,12,53,100,16,47,100,36,47,63,0,72,91,98,0,29,63,74,14,9,3,0,0,13,11,27,5,10,434,4,21,79,88,36,23,83,36,83,43,28.57,1,127,-20,22,98,14,3,14,6,8,6,69,0,40,1,34,100,4,15,62,9,49,0,118406,0,11,73,0,19,83,4,1044,308,6,11
36540,2,Omaha,"Omaha-Council Bluffs, NE-IA",49,44,41,38,66,45,28,92,55,70,35,53,51,57,8,56,44,66,67,71,0,0,32,54,29,58,62,56,85,98,46,60,19,62,82,19,27,28,31,97,86,94,48,74,44,45,70,95,56,9,40,71,63,32,46,54,82,5,41,100,28,66,94,12,0,24,0,48,20,99,0,56,66,54,10,5,2,0,0,12,16,31,6,8,372,3,8,79,92,46,42,89,39,71,39,25.00,2,61,-2,27,74,19,2,11,3,13,3,73,0,43,1,54,64,2,12,52,10,42,0,1563907,6,25,67,0,14,19,-7,721,192,6,20
28140,2,Kansas City,"Kansas City, MO-KS",49,45,59,27,55,48,44,87,31,60,40,60,52,54,15,65,38,64,60,71,0,100,24,35,23,56,50,53,52,78,42,54,26,56,88,23,32,32,68,93,68,99,43,44,5,29,70,80,63,22,36,54,39,47,65,96,81,1,50,100,26,56,56,51,0,44,0,28,68,99,0,34,33,86,10,6,2,0,1,14,22,32,6,9,380,4,13,79,91,51,39,90,37,73,39,38.46,6,87,-16,30,45,5,1,11,4,14,6,72,0,40,1,47,97,2,10,59,10,43,0,10448898,-5,24,70,0,9,62,-6,592,286,10,6
36260,4,Ogden,"Ogden-Clearfield, UT",49,46,45,34,65,49,11,53,12,78,37,80,55,50,18,99,49,79,78,70,0,0,34,21,48,76,65,88,63,48,48,65,5,31,91,71,0,21,,63,0,95,28,3,6,53,81,100,42,24,45,100,99,92,66,44,75,7,60,100,32,44,98,9,55,0,0,,,99,0,53,93,,7,3,2,0,0,12,27,28,4,7,283,4,21,79,93,37,30,90,14,55,38,,29,254,-5,36,4,5,3,9,3,12,6,76,0,46,1,47,56,3,13,67,9,40,0,605318,7,10,62,0,,,-1,828,202,2,
10900,1,Allentown,"Allentown-Bethlehem-Easton, PA-NJ",49,47,33,36,54,55,14,71,15,61,38,71,48,73,18,100,46,57,34,73,0,0,47,32,30,50,70,67,49,19,49,72,26,37,84,74,25,4,,36,80,97,38,1,6,63,78,41,42,28,43,60,86,39,69,100,86,7,36,100,10,56,95,68,9,44,0,,,100,0,48,90,,11,9,2,0,0,10,23,31,7,6,341,4,29,79,95,51,32,89,13,70,35,,51,69,-12,32,2,6,4,10,5,12,7,75,0,45,1,46,100,1,13,48,9,53,0,1146212,-10,18,70,0,,,-20,898,225,2,
12060,3,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",49,48,53,28,53,40,63,70,28,63,35,53,45,73,28,47,52,52,55,60,0,100,21,19,43,49,45,57,67,75,45,35,31,57,51,22,31,65,92,39,76,96,18,44,20,66,68,54,39,26,39,40,0,55,70,100,78,13,18,100,17,50,88,80,39,47,0,14,28,99,0,48,58,100,12,7,3,0,1,14,28,29,7,10,371,4,14,79,87,55,40,84,38,73,44,47.06,49,76,-9,41,44,11,4,11,5,11,7,73,0,36,1,46,100,2,16,33,10,49,0,2872947,-13,13,70,0,6,26,-12,1110,226,7,-13
33700,4,Modesto,"Modesto, CA",49,49,70,41,48,27,37,81,35,30,13,67,42,61,36,94,46,44,45,59,100,100,31,66,27,59,33,36,37,73,27,74,13,0,50,43,31,38,40,81,63,100,38,38,29,58,,2,2,6,31,78,58,64,90,47,37,5,53,98,15,34,98,51,65,42,0,,,94,0,60,81,45,14,8,3,1,1,12,12,31,6,12,428,4,15,78,95,42,17,84,28,72,40,28.57,15,94,-21,32,38,13,3,,7,8,2,69,0,42,1,39,59,6,12,62,13,50,0,412069,-5,8,70,0,,,58,786,172,4,24
29540,1,Lancaster,"Lancaster, PA",48,50,39,43,48,38,1,92,16,71,24,78,44,72,23,90,50,64,62,69,0,0,45,33,50,48,49,65,40,42,58,35,0,40,98,13,1,0,,88,90,97,40,1,6,48,,95,29,20,22,100,82,93,37,,73,17,9,100,22,60,97,58,67,1,0,,,90,0,53,98,,10,5,2,0,0,10,23,28,7,9,348,4,23,80,87,31,33,91,42,61,33,,9,55,-12,31,2,6,3,,3,10,5,65,0,45,1,57,,3,17,26,10,45,0,672882,-7,8,63,0,,,127,838,202,1,
41700,3,San Antonio,"San Antonio-New Braunfels, TX",48,51,65,36,50,38,41,77,18,67,24,67,41,66,25,70,41,38,31,56,100,100,38,26,45,56,31,52,52,91,44,27,14,29,88,23,48,37,37,79,73,79,45,3,7,100,42,58,37,12,22,47,47,59,80,100,58,11,25,100,13,52,95,51,10,65,0,33,79,99,0,3,62,100,15,10,3,1,1,11,26,29,6,12,384,4,10,79,86,43,29,90,38,79,40,27.27,16,80,45,29,4,6,6,14,5,11,4,65,0,41,1,42,100,4,14,39,9,51,0,1200825,-5,18,73,0,10,72,-5,1056,418,6,-8
18140,2,Columbus,"Columbus, OH",48,52,51,29,40,52,38,66,18,67,38,58,49,56,71,30,65,46,41,66,0,100,17,35,35,30,55,38,32,36,25,67,10,62,95,42,37,31,44,20,89,88,48,5,1,44,79,78,61,11,43,59,14,62,53,100,81,4,34,100,25,56,73,39,64,48,100,38,52,0,55,57,51,96,13,8,2,0,1,15,22,30,8,9,422,4,25,78,93,41,42,91,28,75,39,30.00,63,57,17,27,6,4,2,9,4,14,3,75,0,38,1,51,100,2,12,46,9,44,0,6256744,-1,8,71,1,11,48,6933,228,186,8,2
45300,3,Tampa,"Tampa-St. Petersburg-Clearwater, FL",48,53,47,38,36,43,36,82,27,53,35,57,44,69,30,62,57,41,36,59,0,100,21,37,55,41,18,39,27,51,40,39,24,38,46,64,59,50,0,63,86,98,30,42,10,46,62,50,48,14,42,31,29,63,64,100,77,7,27,100,9,60,90,56,40,49,0,21,66,99,0,47,81,100,14,9,3,0,1,14,22,27,7,14,420,4,21,79,88,50,32,83,18,84,42,12.50,29,62,-16,36,42,7,3,12,5,12,4,74,0,39,1,48,100,2,13,41,8,53,0,2385819,-6,13,71,0,7,61,-3,1204,227,4,-21
40380,1,Rochester,"Rochester, NY",48,54,47,29,59,32,55,88,38,46,57,57,45,73,36,0,54,41,18,76,0,100,34,28,27,44,76,68,27,64,53,82,12,48,55,14,37,29,100,92,76,97,43,46,24,0,82,56,57,74,39,50,46,58,29,100,87,9,19,100,9,63,94,63,61,46,0,,,0,0,42,82,92,14,12,2,0,1,12,25,31,7,6,338,4,17,80,96,42,36,85,42,75,39,60.00,6,75,-12,29,47,12,0,9,5,13,17,73,0,41,1,59,100,1,14,34,7,53,0,1458382,-8,9,70,0,,,1394,807,250,4,4
34980,3,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",48,55,58,31,32,52,28,84,29,78,25,56,45,72,20,75,30,58,59,71,0,100,31,39,24,44,32,28,10,38,21,52,16,68,86,37,41,15,,81,72,98,44,32,12,81,61,91,36,5,32,49,20,73,87,53,79,6,16,100,25,66,90,61,45,16,0,35,92,98,0,33,56,,11,6,2,0,1,12,21,32,7,12,449,4,24,78,91,45,44,89,31,77,37,,15,81,-16,29,32,8,5,12,3,11,2,70,0,38,1,40,63,2,13,31,10,44,0,2433892,-8,12,65,0,11,84,4,1181,288,7,
16700,3,Charleston,"Charleston-North Charleston, SC",47,56,31,35,38,47,21,83,29,69,28,49,26,63,45,100,49,53,43,60,0,0,28,41,35,56,19,48,8,59,35,43,26,49,56,57,25,37,0,97,59,93,53,17,16,65,59,82,54,3,29,36,16,34,92,64,85,5,4,,9,66,78,45,0,35,100,,,100,0,52,42,100,12,8,3,0,0,13,21,30,6,13,395,4,18,79,89,51,37,85,21,70,40,7.69,2,100,2,24,18,9,4,12,4,13,2,68,0,38,1,38,72,2,12,22,,53,0,5197093,-3,31,68,1,,,-14,843,207,9,-9
46060,4,Tucson,"Tucson, AZ",47,57,41,42,50,32,64,45,24,25,45,58,48,75,86,42,34,25,37,41,100,0,21,36,69,60,38,61,42,40,51,58,14,40,9,65,45,67,80,0,35,100,27,22,21,0,60,15,51,52,32,35,27,43,84,100,65,16,56,100,5,52,100,72,82,75,100,2,26,98,0,18,76,41,17,9,4,1,0,14,22,25,6,11,359,4,24,80,92,43,33,78,17,78,45,42.86,87,135,-20,37,23,11,-1,12,7,13,12,70,0,39,1,41,100,4,17,64,7,56,0,83271,-11,5,75,1,3,25,4,1148,356,4,26
33100,3,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",47,58,48,63,55,36,37,34,27,53,22,33,42,64,81,58,56,39,43,57,0,100,34,73,81,64,37,75,55,52,82,22,41,41,40,20,52,58,0,36,65,0,29,42,10,57,66,35,17,19,30,3,36,57,26,42,52,12,46,100,0,60,87,46,64,80,100,17,58,99,0,68,66,88,14,8,3,0,1,12,9,23,5,11,321,4,20,82,85,61,34,82,39,81,43,0.00,50,91,701,36,42,7,3,11,6,9,5,69,1,40,1,60,55,5,15,56,10,63,0,3172946,-3,8,76,1,7,53,-7,785,138,6,5
44060,4,Spokane,"Spokane-Spokane Valley, WA",47,59,68,36,54,41,57,59,63,47,31,54,50,65,19,0,63,41,46,54,100,100,17,50,40,64,57,53,41,58,33,72,8,27,59,71,40,30,100,80,0,96,0,90,100,32,49,61,43,14,36,50,58,50,57,58,80,12,45,99,13,60,98,36,,38,0,,,0,45,57,90,60,14,8,3,1,1,15,17,29,5,8,380,4,19,78,95,39,28,85,14,76,39,50.00,16,224,-8,87,90,45,2,14,5,12,4,71,0,42,1,50,67,2,15,55,11,51,0,419272,0,,69,0,,,121741,274,188,2,17
25540,1,Hartford,"Hartford-West Hartford-East Hartford, CT",47,60,61,39,62,58,24,80,15,44,48,52,47,50,38,3,85,64,58,86,100,0,36,13,66,53,61,81,71,21,65,79,45,65,75,47,34,15,,41,100,97,24,14,8,5,79,48,62,40,43,50,59,36,25,88,86,10,27,100,10,42,98,11,60,53,0,,,3,,,85,,10,6,1,1,0,11,30,25,6,8,302,3,29,81,96,64,43,88,26,74,37,,47,34,-13,38,15,6,0,9,5,14,10,75,0,42,1,61,91,1,14,40,8,53,0,550250,7,9,71,0,,,1345,,,3,
35840,3,North Port,"North Port-Sarasota-Bradenton, FL",47,61,41,44,47,41,39,67,28,56,25,42,43,56,29,99,43,66,63,74,0,0,28,30,74,56,28,74,45,6,75,44,27,24,51,63,45,34,,90,84,27,31,42,10,65,48,56,21,14,39,29,26,75,38,,84,0,25,100,4,61,99,8,49,39,0,,,99,0,49,80,,10,5,2,0,0,13,24,24,6,12,322,4,33,81,89,52,27,84,18,78,40,,8,63,207,35,42,7,4,14,5,10,4,73,0,39,1,57,,2,10,38,7,56,0,312417,8,11,69,0,,,-3,1205,219,4,
25420,1,Harrisburg,"Harrisburg-Carlisle, PA",47,62,37,28,47,43,17,76,16,57,36,66,52,57,32,96,34,66,49,71,0,0,35,24,25,42,57,51,39,29,41,71,8,56,67,43,26,9,,82,88,58,42,1,6,28,55,89,59,12,38,83,63,59,51,76,90,10,36,100,26,73,99,0,56,41,0,,,96,0,39,64,,10,7,2,0,0,12,26,31,7,8,385,4,26,79,94,39,39,86,28,70,36,,14,58,111,30,2,6,1,13,3,13,4,72,0,43,1,52,81,1,14,47,9,43,0,311800,10,10,69,0,,,31,1075,263,6,
19820,2,Detroit,"Detroit-Warren-Dearborn, MI",46,63,46,27,38,42,47,91,27,39,50,42,48,63,54,36,47,37,29,61,100,0,14,38,29,35,67,25,21,19,21,75,23,46,65,34,15,56,72,94,81,97,41,29,12,35,51,30,67,52,32,33,11,60,8,100,82,3,38,99,17,47,74,69,23,40,100,16,0,91,0,66,48,75,15,10,3,1,0,15,22,31,8,7,458,4,29,78,95,49,35,86,32,66,43,40.00,5,68,-11,30,29,8,2,13,6,14,12,70,0,37,1,67,100,2,11,49,11,49,0,6117551,-10,16,69,1,6,1,112,896,145,8,11
24660,3,Greensboro,"Greensboro-High Point, NC",46,64,47,20,37,41,67,90,27,47,19,50,43,73,36,57,44,34,44,56,0,100,7,42,11,26,37,37,34,50,22,50,8,30,85,42,50,50,100,97,80,92,36,30,15,24,74,43,22,17,19,48,2,57,69,73,78,5,14,100,20,65,96,57,63,46,0,29,43,98,0,38,62,74,15,8,3,0,1,17,20,33,9,11,423,4,21,78,90,40,29,89,28,80,42,66.67,2,70,4,33,31,9,1,10,5,10,5,64,0,36,1,46,79,2,12,30,8,47,0,906343,-6,9,70,0,9,40,13,916,268,6,11
37340,3,Palm Bay,"Palm Bay-Melbourne-Titusville, FL",46,65,33,23,28,48,36,59,27,64,62,59,31,57,30,100,40,50,55,61,0,0,18,0,50,52,15,31,15,3,27,50,22,30,65,75,21,52,,34,84,,30,42,10,46,72,74,83,55,49,50,33,89,65,,87,2,24,,9,71,99,0,48,42,0,,,100,0,38,81,,12,7,3,0,0,15,40,28,6,14,442,4,34,78,90,48,29,86,12,68,42,,53,63,,35,42,7,3,10,4,16,13,77,0,40,1,47,,1,11,38,,53,0,177309,28,11,70,0,,,-18,1274,268,4,
44700,4,Stockton,"Stockton-Lodi, CA",46,66,65,42,46,24,50,89,34,40,16,63,39,74,48,34,31,32,43,50,100,100,25,64,37,58,27,43,32,65,33,66,10,2,36,49,32,39,80,98,68,100,37,38,29,48,41,32,6,14,29,51,62,59,80,62,28,11,53,99,3,48,99,75,67,77,0,1,2,98,0,57,48,18,16,8,4,1,1,13,13,30,6,12,409,4,17,78,93,41,18,82,25,73,40,42.86,1,86,-20,32,38,13,3,15,6,8,4,68,0,43,1,42,70,7,14,62,12,57,0,217739,-11,8,75,0,3,2,2,886,186,8,36
19100,3,Dallas,"Dallas-Fort Worth-Arlington, TX",46,67,35,33,57,43,28,75,18,69,36,68,45,59,32,69,28,56,57,61,0,0,8,45,45,52,59,56,73,89,51,17,17,47,86,22,42,41,0,63,68,94,43,3,7,73,63,71,41,31,35,50,46,71,74,100,53,7,45,100,21,45,79,53,56,38,0,43,65,100,0,6,76,29,11,6,3,0,0,16,19,29,6,8,372,3,10,80,84,45,36,89,38,77,41,13.33,29,87,-2,29,4,6,4,12,4,12,8,71,0,41,1,44,100,5,13,55,9,46,0,5037221,-5,10,69,0,13,59,-16,1074,404,4,31
17820,4,Colorado Springs,"Colorado Springs, CO",46,68,37,47,54,30,36,77,18,40,44,68,49,63,20,71,36,60,58,69,0,0,31,23,86,57,32,70,69,39,44,65,7,36,0,76,38,54,17,92,50,89,32,4,20,23,62,35,61,17,55,85,50,74,92,41,68,17,55,100,7,56,98,34,40,21,0,29,87,97,0,22,72,52,11,6,2,0,0,12,27,23,6,12,334,3,24,79,93,38,32,76,12,75,43,20.00,6,113,12,35,5,10,1,12,6,14,5,80,0,41,1,38,54,3,17,63,6,55,0,534220,0,13,66,0,9,80,26,1071,338,5,21
15380,1,Buffalo,"Buffalo-Cheektowaga-Niagara Falls, NY",46,69,47,33,46,47,13,89,39,55,26,41,49,68,36,46,56,40,24,73,0,100,30,41,29,37,81,44,29,17,30,82,28,59,52,47,36,3,0,95,76,94,47,46,24,18,80,67,36,14,27,45,60,15,0,83,86,8,35,100,14,63,88,52,50,58,0,21,17,100,0,65,82,78,14,11,2,0,1,13,20,31,8,5,404,4,30,78,97,53,41,84,26,75,35,0.00,4,75,-2,27,47,12,1,9,4,11,4,68,0,42,1,72,87,1,14,47,7,50,0,2799981,-5,11,72,0,8,16,-20,653,150,4,10
33340,2,Milwaukee,"Milwaukee-Waukesha-West Allis, WI",46,70,32,35,49,34,21,65,42,53,38,41,55,68,54,62,39,45,50,66,0,0,28,49,28,38,57,55,45,32,41,72,25,62,49,0,31,33,0,12,89,95,40,65,19,11,73,74,55,27,31,36,23,45,2,100,84,10,61,100,18,52,89,62,23,40,100,34,55,98,34,29,37,54,13,7,2,0,0,13,18,31,8,8,375,4,26,79,95,50,42,84,49,72,39,12.50,70,57,-6,31,66,10,0,10,4,13,7,70,0,39,1,68,100,2,14,68,8,48,0,2515468,-8,16,69,1,10,50,9,323,305,10,20
17140,2,Cincinnati,"Cincinnati, OH-KY-IN",46,71,53,18,34,51,21,90,17,57,44,50,50,53,42,69,37,52,42,70,0,100,21,10,23,23,63,33,31,0,12,75,19,52,97,35,26,19,17,94,86,91,45,5,1,33,64,76,61,31,39,48,17,33,53,100,87,5,33,99,27,53,35,72,0,25,100,50,58,99,0,11,63,75,12,8,2,0,1,14,31,32,9,7,434,4,49,77,95,47,38,91,32,71,37,20.00,5,61,6,29,6,4,2,12,4,14,8,73,0,38,1,51,100,1,12,45,11,43,0,15249576,-11,23,67,1,14,53,-12,581,385,6,11
40140,4,Riverside,"Riverside-San Bernardino-Ontario, CA",46,72,67,49,57,27,24,79,36,32,20,61,34,56,42,67,34,38,42,54,100,100,43,41,63,62,35,49,51,87,55,61,7,9,66,28,18,55,0,88,51,98,42,38,29,62,33,0,10,11,41,63,55,38,92,55,25,13,33,97,0,0,98,70,61,64,0,18,84,99,0,57,77,0,14,8,3,1,1,10,21,26,6,11,391,4,11,80,92,38,21,86,35,67,43,0.00,10,111,-14,30,38,13,3,16,7,9,3,74,0,42,1,38,65,8,15,46,15,59,0,498169,-10,9,73,0,7,77,-5,963,184,4,56
17460,2,Cleveland,"Cleveland-Elyria, OH",45,73,26,27,40,41,17,89,18,48,40,37,52,76,66,56,49,36,28,66,0,0,12,35,36,26,68,33,53,0,23,74,19,50,81,13,25,27,0,92,84,91,49,5,1,39,62,41,56,30,33,24,17,32,12,100,89,8,48,99,16,52,84,91,45,52,100,16,55,98,52,38,44,63,15,10,2,0,0,16,23,30,9,7,434,4,37,78,95,47,37,89,42,70,39,11.11,7,64,6,27,6,4,2,12,5,13,8,70,0,38,1,65,100,1,13,58,11,49,0,3844740,-16,12,71,1,6,50,5,243,267,9,16
27260,3,Jacksonville,"Jacksonville, FL",45,74,28,24,25,42,39,85,27,57,29,53,29,73,47,81,39,45,32,63,0,0,7,28,38,29,5,32,32,13,20,45,15,36,46,70,40,62,17,89,71,94,28,42,10,61,68,43,46,9,31,43,13,66,71,73,79,6,16,,14,69,87,61,14,26,100,49,95,98,0,33,50,74,13,10,3,0,0,17,25,30,8,15,437,4,31,77,89,44,31,83,15,76,44,20.00,9,83,-3,36,42,7,3,11,5,12,3,69,0,37,1,45,79,2,13,32,,50,0,2980496,-8,17,67,1,14,87,1,1570,290,8,11
24860,3,Greenville,"Greenville-Anderson-Mauldin, SC",45,75,26,23,29,45,21,83,28,65,38,44,41,76,22,100,34,40,40,51,0,0,35,7,28,57,4,25,8,51,14,46,14,39,67,58,26,16,,98,59,92,51,17,16,49,76,69,46,44,22,39,10,85,88,0,81,4,0,100,19,69,95,64,61,6,0,,,100,0,40,62,,14,9,3,0,0,12,32,31,6,16,456,4,21,77,89,43,33,86,20,70,37,,2,100,3,25,18,9,3,10,4,12,11,66,0,37,1,40,20,2,12,18,9,47,0,1122000,-8,9,63,0,,,-19,1022,261,6,
19380,2,Dayton,"Dayton, OH",45,76,30,14,29,42,24,92,18,48,41,45,53,56,24,100,59,42,43,64,0,0,11,26,6,37,45,17,27,0,3,72,19,36,89,24,24,30,17,93,93,90,49,5,1,14,90,39,70,19,34,57,10,28,29,100,90,5,42,100,28,56,97,16,61,12,0,,,100,54,36,45,100,14,8,3,0,0,16,25,34,8,10,478,4,57,76,94,47,32,90,37,70,39,20.00,6,51,11,27,6,4,1,8,6,14,5,71,0,37,1,60,100,1,12,53,8,42,0,773980,5,9,64,0,,,-20,234,274,9,-12
36740,3,Orlando,"Orlando-Kissimmee-Sanford, FL",45,77,28,39,49,44,45,67,27,60,32,61,40,56,32,41,47,40,42,59,0,0,25,37,56,48,32,60,39,65,59,37,21,40,56,61,38,58,40,41,60,100,31,42,10,54,62,63,39,12,45,35,29,59,80,100,73,10,13,100,6,60,96,12,53,42,0,12,15,96,0,59,70,58,14,8,3,0,0,13,22,27,7,12,361,4,17,80,88,48,33,85,19,75,43,28.57,47,99,-21,35,42,7,3,12,4,11,4,76,0,39,1,42,100,3,14,29,8,55,0,977399,6,10,70,0,5,14,36,957,177,5,18
