Player Name,Season,Statistic,Variable,Value
Lucas Glover,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,511,275"
Steve Marino,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,479,239"
Louis Oosthuizen,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,459,177"
Padraig Harrington,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,458,653"
Michael Sim,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,433,176"
Bryce Molder,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,428,438"
Y.E. Yang,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,406,976"
Davis Love III,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,350,722"
Vijay Singh,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,334,262"
John Senden,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,333,558"
Tom Gillis,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,287,396"
Alex Prugh,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,272,606"
Angel Cabrera,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,266,440"
Jerry Kelly,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,261,898"
Matt Jones,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,215,743"
Spencer Levin,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,199,672"
John Rollins,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,182,736"
Cameron Beckman,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,158,485"
Rocco Mediate,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,138,067"
Jason Dufner,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,121,695"
Paul Goydos,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,121,250"
Boo Weekley,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,119,396"
Kris Blanks,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,109,178"
Bill Lunde,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,104,874"
Justin Leonard,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,098,945"
Robert Karlsson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,081,920"
Kenny Perry,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,055,061"
J.J. Henry,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,035,688"
Tim Petrovic,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,028,960"
Ryuji Imada,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,028,869"
Shaun Micheel,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,025,500"
David Duval,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,005,834"
Josh Teater,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,005,323"
Chris Riley,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,001,582"
Greg Chalmers,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"989,415"
Andres Romero,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"979,170"
D.A. Points,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"975,433"
Webb Simpson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"972,962"
Derek Lamely,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"972,961"
Ben Curtis,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"972,136"
Chad Campbell,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"971,154"
Blake Adams,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"963,593"
Steve Elkington,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"955,084"
Graham DeLaet,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"954,011"
Pat Perez,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"947,588"
Chris Stroud,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"942,082"
Jimmy Walker,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"937,987"
Sergio Garcia,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"936,845"
Kevin Stadler,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"931,720"
Stephen Ames,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"916,527"
Alex Cejka,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"904,253"
Chris Couch,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"888,146"
Henrik Stenson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"883,070"
Aaron Baddeley,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"879,317"
Garrett Willis,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"871,763"
J.P. Hayes,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"862,523"
Matt Bettencourt,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"855,901"
Michael Connell,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"846,459"
Corey Pavin,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"839,193"
Dean Wilson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"832,640"
Kevin Sutherland,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"818,682"
Chad Collins,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"815,961"
Edoardo Molinari,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"814,018"
Gregory Havret,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"810,000"
Jeff Maggert,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"801,579"
Roland Thatcher,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"796,157"
Mark Wilson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"789,681"
Joe Durant,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"788,755"
Troy Merritt,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"786,977"
Johnson Wagner,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"758,802"
Briny Baird,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"758,577"
Richard Johnson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"754,515"
Nick O'Hern,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"748,633"
Troy Matteson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"736,060"
Peter Hanson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"735,289"
Woody Austin,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"727,352"
Michael Allen,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"726,631"
Aron Price,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"713,737"
Bob Estes,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"701,158"
Billy Mayfair,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"692,231"
Paul Stankowski,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"691,591"
John Mallinger,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"684,687"
Scott Piercy,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"676,432"
George McNeill,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"664,854"
John Merrick,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"663,815"
Tom Pernice Jr.,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"662,730"
Lee Janzen,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"653,195"
Scott McCarron,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"647,543"
Mike Weir,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"645,342"
Joe Ogilvie,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"641,797"
Nathan Green,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"636,180"
Cameron Percy,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"625,262"
Jeff Quinney,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"610,866"
Brett Quigley,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"597,296"
Chris Tidland,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"588,291"
Alvaro Quiros,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"586,264"
Charles Warren,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"579,616"
Michael Letzig,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"568,729"
Will MacKenzie,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"562,504"
Nicholas Thompson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"551,476"
Brian Stuard,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"536,497"
Chris DiMarco,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"534,205"
Trevor Immelman,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"532,171"
James Nitties,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"530,034"
James Driscoll,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"525,625"
Fred Couples,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"515,406"
Brett Wetterich,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"510,672"
Mathew Goggin,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"488,537"
Thongchai Jaidee,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"473,685"
Oliver Wilson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"464,472"
Matt Every,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"456,847"
Jarrod Lyle,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"450,260"
Steve Flesch,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"440,374"
Jeev Milkha Singh,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"420,245"
Miguel Angel Jimenez,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"415,250"
Steve Wheatcroft,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"408,595"
Ross Fisher,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"404,996"
Jay Williamson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"404,498"
Tim Herron,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"391,502"
Ryo Ishikawa,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"380,430"
Richie Ramsay,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"372,500"
Roger Tambellini,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"370,736"
Michael Bradley,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"360,845"
Tom Lehman,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"356,785"
Bob Heintz,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"355,047"
WC Liang,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"347,186"
Cameron Tringale,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"332,618"
Martin Flores,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"323,673"
Mathias Gronberg,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"322,130"
Yuta Ikeda,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"319,213"
Daniel Chopra,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"311,405"
Skip Kendall,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"309,439"
Ted Purdy,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"307,677"
Simon Dyson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"304,321"
Rod Pampling,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"299,264"
Garth Mulroy,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"287,118"
Omar Uresti,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"283,455"
Darren Clarke,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"278,275"
Greg Owen,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"273,835"
Mardan Mamat,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"263,500"
Ross McGowan,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"259,722"
Kirk Triplett,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"258,873"
Soren Kjeldsen,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"246,989"
Alistair Presnell,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"246,050"
Mark Hensby,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"228,384"
Ken Duke,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"220,777"
Henrik Bjornstad,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"215,913"
Kent Jones,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"213,746"
Seung-Yul Noh,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"211,622"
Nick Price,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"204,000"
Harrison Frazar,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"201,280"
Cliff Kresge,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"199,584"
Mark O'Meara,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"196,500"
Mark Calcavecchia,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"192,480"
Rich Barcelo,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"188,892"
Robert Rock,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"186,239"
Craig Barlow,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"184,622"
Anders Hansen,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"182,750"
Fredrik Andersson Hed,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"177,557"
Jeff Klauk,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"173,676"
Soren Hansen,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"170,750"
Tim Wilkinson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"165,706"
Fred Funk,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"164,053"
John Daly,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"158,587"
Tom Watson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"149,371"
Stephen Gallacher,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"149,245"
Glen Day,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"147,777"
Richard Green,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"145,714"
Simon Khan,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"143,021"
Craig Bowden,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"140,935"
Marcus Fraser,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"135,250"
Brenden Pappas,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"133,584"
Rich Beem,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"128,877"
Matt Weibring,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"128,328"
Carlos Franco,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"128,232"
David Horsey,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"123,950"
David Lutterus,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"123,170"
Siddikur Rahman,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"121,250"
Gary Woodland,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"120,815"
Brad Faxon,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"120,482"
Steve Lowery,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"118,602"
Katsumasa Miyamoto,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"114,500"
Chez Reavie,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"112,994"
Vance Veazey,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"111,370"
Marco Dawson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"108,160"
Andrew Dodt,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"103,500"
Rhys Davies,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"103,012"
Gregory Bourdy,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"101,975"
Robert Gamez,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"101,700"
Gonzalo Fernandez-Castano,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"99,633"
Kiradech Aphibarnrat,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"99,000"
Sam Saunders,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"95,226"
Pariya Junhasavasdikul,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"93,250"
Alex Noren,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"92,250"
Jeff Gove,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"92,155"
Jerod Turner,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"91,343"
Jaco Van Zyl,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"90,000"
