rank,Game,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,mechanic,Area Control,Dice Rolling,Variable Player Powers,Partnerships,Set Collection,Hand Management,Deck,Tile Placement,Simulation,Storytelling,Memory,Player Elimination,Role Playing,Press Your Luck,owned,category,Environmental,Medical,Card Game,Civilization,Economic,Fantasy,Puzzle,TV/Movie/Radio,War,Horror,Murder/Mystery,Party Game,Trivia,Racing,Territory Building,Adventure,Dice
15,Mage Knight Board Game,1,4,150,150,150,2011,8.13872,7.93931,18466,14,"Card Drafting, Co-operative Play, Deck / Pool Building, Dice Rolling, Grid Movement, Hand Management, Modular Board, Role Playing, Tile Placement, Variable Player Powers",0,1,1,0,0,1,1,1,0,0,0,0,1,0,27567,"Adventure, Exploration, Fantasy, Fighting",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16,Blood Rage,2,4,90,60,90,2015,8.14718,7.92347,14109,14,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",1,0,0,0,0,1,0,0,0,0,1,0,0,0,18624,"Fantasy, Fighting, Miniatures, Mythology",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Through the Ages: A Story of Civilization,2,4,240,240,240,2006,8.08381,7.9219,15420,12,"Action Point Allowance System, Auction/Bidding, Card Drafting, Hand Management",0,0,0,0,0,1,0,0,0,0,0,0,0,0,15894,"City Building, Civilization, Economic",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,Star Wars: Imperial Assault,2,5,120,60,120,2014,8.19903,7.89284,11349,14,"Dice Rolling, Grid Movement, Modular Board, Partnerships, Role Playing, Variable Player Powers",0,1,1,1,0,0,0,0,0,0,0,0,1,0,19937,"Adventure, Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
19,Great Western Trail,2,4,150,75,150,2016,8.29052,7.86813,5678,12,"Deck / Pool Building, Hand Management, Point to Point Movement, Tile Placement",0,0,0,0,0,1,1,1,0,0,0,0,0,0,7659,American West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Mansions of Madness: Second Edition,1,5,180,120,180,2016,8.30689,7.86329,6792,14,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Modular Board, Partnerships, Pick-up and Deliver, Role Playing, Variable Player Powers",0,1,1,1,0,1,0,0,0,0,0,0,1,0,11677,"Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle",0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0
21,Power Grid,2,6,120,120,120,2004,7.94284,7.86145,42434,12,"Auction/Bidding, Route/Network Building",0,0,0,0,0,0,0,0,0,0,0,0,0,0,48610,"Economic, Industry / Manufacturing",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,Mechs vs. Minions,2,4,90,60,90,2016,8.37744,7.85838,5181,14,"Action / Movement Programming, Card Drafting, Co-operative Play, Dice Rolling, Modular Board, Variable Player Powers",0,1,1,0,0,0,0,0,0,0,0,0,0,0,9160,"Fantasy, Fighting, Miniatures, Video Game Theme",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,Eclipse,2,6,200,60,200,2011,8.00981,7.85384,20504,14,"Area Control / Area Influence, Dice Rolling, Grid Movement, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers",1,1,1,0,0,0,0,1,0,0,0,1,0,0,22515,"Civilization, Fighting, Science Fiction, Space Exploration, Wargame",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
24,Arkham Horror: The Card Game,1,4,120,60,120,2016,8.39843,7.8401,5645,14,"Action Point Allowance System, Co-operative Play, Deck / Pool Building, Hand Management, Role Playing, Variable Player Powers",0,0,1,0,0,1,1,0,0,0,0,0,1,0,11810,"Adventure, Card Game, Collectible Components, Fantasy, Horror, Novel-based",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
25,Robinson Crusoe: Adventures on the Cursed Island,1,4,180,90,180,2012,8.01272,7.83866,18426,14,"Action / Movement Programming, Co-operative Play, Dice Rolling, Modular Board, Simultaneous Action Selection, Storytelling, Tile Placement, Variable Player Powers, Worker Placement",0,1,1,0,0,0,0,1,0,1,0,0,0,0,27359,"Adventure, Exploration, Fighting, Novel-based",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,Food Chain Magnate,2,5,240,120,240,2015,8.28885,7.82742,5234,14,"Modular Board, Route/Network Building, Simultaneous Action Selection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6799,"Economic, Industry / Manufacturing",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,Android: Netrunner,2,2,45,45,45,2012,7.9957,7.81548,20543,14,"Action Point Allowance System, Hand Management, Secret Unit Deployment, Variable Player Powers",0,0,1,0,0,1,0,0,0,0,0,0,0,0,32292,"Bluffing, Card Game, Collectible Components, Science Fiction",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Brass: Lancashire,2,4,180,120,180,2007,8.01311,7.8125,10774,14,"Hand Management, Route/Network Building",0,0,0,0,0,1,0,0,0,0,0,0,0,0,11352,"Economic, Industry / Manufacturing, Transportation",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,Orl_ans,2,4,90,90,90,2014,8.07938,7.81227,8788,12,"Deck / Pool Building, Point to Point Movement",0,0,0,0,0,0,1,0,0,0,0,0,0,0,10679,"Medieval, Religious, Travel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Le Havre,1,5,150,30,150,2008,7.93099,7.80765,19092,12,Worker Placement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20107,"City Building, Economic, Industry / Manufacturing, Nautical",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,Tzolk'in: The Mayan Calendar,2,4,90,90,90,2012,7.94425,7.79697,18095,13,"Set Collection, Worker Placement",0,0,0,0,1,0,0,0,0,0,0,0,0,0,20464,"Ancient, Civilization, Economic, Farming, Mythology",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
32,Codenames,2,8,15,15,15,2015,7.89233,7.78936,30757,14,"Memory, Partnerships, Pattern Recognition, Press Your Luck",0,0,0,1,0,0,0,0,0,0,1,0,0,0,48818,"Card Game, Deduction, Party Game, Spies/Secret Agents, Word Game",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,T.I.M.E Stories,2,4,90,90,90,2015,8.03251,7.78364,10726,12,"Co-operative Play, Dice Rolling, Role Playing, Storytelling, Time Track, Variable Player Powers, Voting",0,1,1,0,0,0,0,0,0,1,0,0,1,0,17268,"Adventure, Mature / Adult, Medieval, Science Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,Viticulture Essential Edition,1,6,90,90,90,2015,8.18707,7.77678,5627,13,"Hand Management, Variable Phase Order, Worker Placement",0,0,0,0,0,1,0,0,0,0,0,0,0,0,8669,"Economic, Farming",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,Concordia,2,5,100,100,100,2013,7.98431,7.76399,10247,13,"Card Drafting, Deck / Pool Building, Hand Management, Point to Point Movement",0,0,0,0,0,1,1,0,0,0,0,0,0,0,10901,"Ancient, Economic, Nautical",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,Keyflower,2,6,120,90,120,2012,7.93612,7.74998,11984,12,"Auction/Bidding, Memory, Modular Board, Pick-up and Deliver, Route/Network Building, Set Collection, Tile Placement, Worker Placement",0,0,0,0,1,0,0,1,0,0,1,0,0,0,14535,"City Building, Economic, Nautical, Renaissance, Territory Building",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
37,7 Wonders,2,7,30,30,30,2010,7.83338,7.74687,52507,10,"Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers",0,0,1,0,1,1,0,0,0,0,0,0,0,0,67639,"Ancient, Card Game, City Building, Civilization",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,The Voyages of Marco Polo,2,4,100,40,100,2015,7.98195,7.72673,9280,12,"Card Drafting, Dice Rolling, Point to Point Movement, Set Collection, Variable Player Powers, Worker Placement",0,1,1,0,1,0,0,0,0,0,0,0,0,0,10450,"Dice, Economic, Medieval, Travel",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
39,Caylus,2,5,150,60,150,2005,7.85782,7.723,21940,12,Worker Placement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22100,"City Building, Economic, Medieval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,Eldritch Horror,1,8,240,120,240,2013,7.94099,7.70802,16608,14,"Co-operative Play, Dice Rolling, Point to Point Movement, Variable Player Powers",0,1,1,0,0,0,0,0,0,0,0,0,0,0,25076,"Adventure, Fantasy, Fighting, Horror, Novel-based",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
41,Dead of Winter: A Crossroads Game,2,5,210,45,210,2014,7.85534,7.70671,23451,14,"Action Point Allowance System, Area Movement, Co-operative Play, Dice Rolling, Hand Management, Storytelling, Trading, Variable Player Powers, Voting",0,1,1,0,0,1,0,0,0,1,0,0,0,0,32573,"Bluffing, Horror, Zombies",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,Twilight Imperium (Third Edition),3,6,300,180,300,2005,7.92248,7.70491,15180,12,"Action Point Allowance System, Area-Impulse, Dice Rolling, Hex-and-Counter, Modular Board, Trading, Variable Phase Order, Variable Player Powers, Voting",0,1,1,0,0,0,0,0,0,0,0,0,0,0,17565,"Civilization, Negotiation, Political, Science Fiction, Space Exploration, Wargame",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
43,A Feast for Odin,1,4,120,30,120,2016,8.27093,7.70113,4104,12,"Area Enclosure, Dice Rolling, Pattern Building, Press Your Luck, Tile Placement, Worker Placement",0,1,0,0,0,0,0,1,0,0,0,0,0,0,5640,"Economic, Industry / Manufacturing, Medieval, Puzzle",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
44,Patchwork,2,2,30,15,30,2014,7.82454,7.69242,19259,8,"Tile Placement, Time Track",0,0,0,0,0,0,0,1,0,0,0,0,0,0,28670,"Abstract Strategy, Puzzle",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,Dominant Species,2,6,240,120,240,2010,7.86357,7.68593,13058,14,"Area Control / Area Influence, Card Drafting, Grid Movement, Modular Board, Tile Placement, Variable Player Powers, Worker Placement",1,0,1,0,0,0,0,1,0,0,0,0,0,0,13834,"Animals, Environmental, Prehistoric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Lords of Waterdeep,2,5,120,60,120,2012,7.79641,7.6841,29445,12,"Set Collection, Take That, Worker Placement",0,0,0,0,1,0,0,0,0,0,0,0,0,0,35951,"City Building, Fantasy",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,Race for the Galaxy,2,4,60,30,60,2007,7.77257,7.68402,34609,12,"Hand Management, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers",0,0,1,0,0,1,0,0,0,0,0,0,0,0,41277,"Card Game, Civilization, Economic, Science Fiction, Space Exploration",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
48,Five Tribes,2,4,80,40,80,2014,7.82921,7.68296,17733,13,"Area Control / Area Influence, Auction/Bidding, Modular Board, Set Collection, Variable Phase Order",1,0,0,0,1,0,0,0,0,0,0,0,0,0,23512,"Arabian, Fantasy, Mythology",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,Roll for the Galaxy,2,5,45,45,45,2014,7.84718,7.68277,14679,13,"Deck / Pool Building, Dice Rolling, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers",0,1,1,0,0,0,1,0,0,0,0,0,0,0,19302,"Civilization, Dice, Economic, Science Fiction, Space Exploration",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
50,El Grande,2,5,120,60,120,1995,7.80414,7.67408,18580,12,"Area Control / Area Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",1,0,0,0,0,1,0,0,0,0,1,0,0,0,17944,Renaissance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Dominion: Intrigue,2,4,30,30,30,2009,7.79146,7.66711,23360,13,"Card Drafting, Deck / Pool Building, Hand Management",0,0,0,0,0,1,1,0,0,0,0,0,0,0,32921,"Card Game, Medieval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Star Wars: X-Wing Miniatures Game,2,2,45,30,45,2012,7.87365,7.66158,17055,14,"Action / Movement Programming, Dice Rolling, Player Elimination, Simultaneous Action Selection, Variable Player Powers",0,1,1,0,0,0,0,0,0,0,0,1,0,0,29159,"Aviation / Flight, Bluffing, Collectible Components, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,Battlestar Galactica,3,6,300,120,300,2008,7.77334,7.63755,25603,10,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Partnerships, Role Playing, Variable Player Powers",0,1,1,1,0,1,0,0,0,0,0,0,1,0,28480,"Bluffing, Deduction, Movies / TV / Radio theme, Political, Science Fiction, Space Exploration, Spies/Secret Agents",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Fields of Arle,1,2,120,60,120,2014,8.21417,7.63399,3617,13,Worker Placement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6130,"Economic, Farming, Industry / Manufacturing",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,Dominion,2,4,30,30,30,2008,7.69683,7.60472,56597,13,"Card Drafting, Deck / Pool Building, Hand Management",0,0,0,0,0,1,1,0,0,0,0,0,0,0,72854,"Card Game, Medieval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1,8,120,60,120,1981,7.84572,7.60254,9219,10,"Co-operative Play, Storytelling",0,0,0,0,0,0,0,0,0,1,0,0,0,0,18363,"Deduction, Murder/Mystery, Novel-based, Post-Napoleonic, Spies/Secret Agents",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,Mombasa,2,4,150,75,150,2015,8.00709,7.59747,5109,12,"Action / Movement Programming, Area Control / Area Influence, Card Drafting, Deck / Pool Building, Hand Management, Simultaneous Action Selection, Stock Holding, Variable Player Powers, Worker Placement",1,0,1,0,0,1,1,0,0,0,0,0,0,0,6956,Economic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,Russian Railroads,2,4,120,90,120,2013,7.82731,7.59617,9087,12,Worker Placement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9934,"Industry / Manufacturing, Trains",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Trajan,2,4,120,60,120,2011,7.81416,7.59407,9824,12,"Area Movement, Card Drafting, Hand Management, Set Collection",0,0,0,0,1,1,0,0,0,0,0,0,0,0,11592,"Ancient, Political",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Tigris & Euphrates,2,4,90,90,90,1997,7.72175,7.59175,20293,12,"Area Control / Area Influence, Hand Management, Set Collection, Tile Placement",1,0,0,0,1,1,0,1,0,0,0,0,0,0,22163,"Abstract Strategy, Ancient, Civilization, Territory Building",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
61,Santorini,2,4,20,20,20,2016,8.05321,7.58639,4960,8,"Grid Movement, Tile Placement, Variable Player Powers",0,0,1,0,0,0,0,1,0,0,0,0,0,0,8416,"Abstract Strategy, Ancient, Mythology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Pandemic,2,4,45,45,45,2008,7.67105,7.58506,63413,8,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",0,0,1,0,1,1,0,0,0,0,0,0,0,0,90612,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Troyes,1,4,90,90,90,2010,7.76056,7.5785,11416,12,"Area Control / Area Influence, Dice Rolling, Worker Placement",1,1,0,0,0,0,0,0,0,0,0,0,0,0,12095,"Dice, Economic, Medieval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
64,Descent: Journeys in the Dark (Second Edition),2,5,120,120,120,2012,7.79648,7.57244,14828,14,"Action Point Allowance System, Dice Rolling, Grid Movement, Hand Management, Modular Board, Partnerships, Variable Player Powers",0,1,1,1,0,1,0,0,0,0,0,0,0,0,23677,"Adventure, Exploration, Fantasy, Fighting, Miniatures",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
65,Crokinole,2,4,30,30,30,1876,7.80825,7.57058,7749,8,Partnerships,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5577,Action / Dexterity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Castles of Mad King Ludwig,1,4,90,90,90,2014,7.73487,7.57036,13491,13,"Card Drafting, Pattern Building, Set Collection, Tile Placement",0,0,0,0,1,0,0,1,0,0,0,0,0,0,18248,Post-Napoleonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,War of the Ring (first edition),2,4,180,180,180,2004,7.81332,7.55519,8950,12,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management",1,1,0,0,0,1,0,0,0,0,0,0,0,0,11452,"Adventure, Dice, Fantasy, Novel-based, Territory Building, Wargame",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
68,The Resistance: Avalon,5,10,30,30,30,2012,7.71627,7.54798,16246,13,"Memory, Partnerships, Simultaneous Action Selection, Variable Player Powers, Voting",0,0,1,1,0,0,0,0,0,0,1,0,0,0,22913,"Bluffing, Card Game, Deduction, Fantasy, Medieval, Negotiation, Party Game",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
69,Arcadia Quest,2,4,60,60,60,2014,7.99599,7.54337,5134,13,"Dice Rolling, Grid Movement, Modular Board, Variable Player Powers",0,1,1,0,0,0,0,0,0,0,0,0,0,0,8753,"Adventure, Fantasy, Fighting, Miniatures",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
70,Kemet,2,5,60,15,60,2012,7.77647,7.5405,9430,13,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting, Hand Management",1,0,0,0,0,1,0,0,0,0,0,0,0,0,11555,"Ancient, Fighting, Miniatures, Mythology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,A Game of Thrones: The Board Game (Second Edition),3,6,240,120,240,2011,7.73383,7.53988,18041,14,"Area Control / Area Influence, Area Movement, Auction/Bidding, Hand Management, Player Elimination, Simultaneous Action Selection, Variable Player Powers",1,0,1,0,0,1,0,0,0,0,0,1,0,0,23396,"Bluffing, Fantasy, Negotiation, Novel-based, Political, Wargame",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
72,Stone Age,2,4,90,60,90,2008,7.63249,7.53831,30855,10,"Dice Rolling, Set Collection, Worker Placement",0,1,0,0,1,0,0,0,0,0,0,0,0,0,32238,"Dice, Prehistoric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,Alchemists,2,4,120,120,120,2014,7.76963,7.53328,10061,13,"Action Point Allowance System, Card Drafting, Hand Management, Worker Placement",0,0,0,0,0,1,0,0,0,0,0,0,0,0,13449,"Deduction, Fantasy",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74,Legendary Encounters: An Alien Deck Building Game,1,5,45,45,45,2014,7.86395,7.52369,6581,17,"Card Drafting, Co-operative Play, Deck / Pool Building, Player Elimination, Variable Player Powers",0,0,1,0,0,0,1,0,0,0,0,1,0,0,9847,"Card Game, Horror, Movies / TV / Radio theme, Science Fiction",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75,The Gallerist,1,4,150,60,150,2015,8.04932,7.52059,3776,13,"Commodity Speculation, Set Collection, Worker Placement",0,0,0,0,1,0,0,0,0,0,0,0,0,0,5802,Economic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,Ora et Labora,1,4,180,60,180,2011,7.78158,7.52037,7577,13,"Modular Board, Pattern Building, Set Collection, Tile Placement, Worker Placement",0,0,0,0,1,0,0,1,0,0,0,0,0,0,9466,"City Building, Economic, Industry / Manufacturing, Medieval, Religious, Territory Building",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
77,Nations,1,5,200,40,200,2013,7.75364,7.50628,8253,14,"Card Drafting, Variable Player Powers",0,0,1,0,0,0,0,0,0,0,0,0,0,0,9208,"Card Game, Civilization, Economic",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
78,Suburbia,1,4,90,90,90,2012,7.6409,7.50156,15023,8,"Card Drafting, Set Collection, Tile Placement",0,0,0,0,1,0,0,1,0,0,0,0,0,0,18171,"City Building, Economic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,Star Realms,2,2,20,20,20,2014,7.64296,7.50035,19049,12,"Card Drafting, Deck / Pool Building, Player Elimination, Take That",0,0,0,0,0,0,1,0,0,0,0,1,0,0,28969,"Card Game, Fighting, Science Fiction",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Commands & Colors: Ancients,2,2,60,60,60,2006,7.7972,7.49628,6843,12,"Campaign / Battle Card Driven, Dice Rolling, Hand Management, Hex-and-Counter, Modular Board",0,1,0,0,0,1,0,0,0,0,0,0,0,0,8784,"Ancient, Wargame",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,Railways of the World,2,6,120,120,120,2005,7.70506,7.49022,9465,10,"Action Point Allowance System, Auction/Bidding, Card Drafting, Pick-up and Deliver, Route/Network Building, Tile Placement",0,0,0,0,0,0,0,1,0,0,0,0,0,0,9862,"Trains, Transportation, Video Game Theme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Forbidden Stars,2,4,180,120,180,2015,8.05649,7.48992,3883,14,"Area Control / Area Influence, Dice Rolling, Hand Management, Modular Board, Variable Player Powers",1,1,1,0,0,1,0,0,0,0,0,0,0,0,7356,"Bluffing, Dice, Fighting, Miniatures, Science Fiction, Wargame",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
