Summons Number,Issue Date,Violation Code,Violation Location,Violation Precinct,Violation Time,House Number,Street Name,Intersecting Street,City & State
8714729039,1/14/2019,82,90,90,0850P,S,Williamsburg St East,120ft W/of Bedford A,"Brooklyn, NY"
8714729027,1/14/2019,20,90,90,0848P,N,Williamsburg St East,120ft W/of Bedford A,"Brooklyn, NY"
8724655739,1/14/2019,21,94,94,1157A,S,Meeker Ave,120ft W/of Manhattan,"Brooklyn, NY"
8579656242,1/12/2019,16,94,94,1123A,S,Russell St,120ft W/of Norman Av,"Brooklyn, NY"
8610241294,1/11/2019,20,88,88,0123P,N,Myrtle Ave,120ft W/of Washingto,"Brooklyn, NY"
8714727444,1/11/2019,14,94,94,0836P,S,N 11th St,125ft E/of Wythe Ave,"Brooklyn, NY"
8714728060,1/12/2019,14,94,94,0812P,S,N 11th St,125ft E/of Wythe Ave,"Brooklyn, NY"
8715522702,1/12/2019,66,88,88,0931A,W,Ryerson St,125ft S/of Flushing,"Brooklyn, NY"
8671539246,1/14/2019,19,90,90,0929P,E,Wythe Ave,125ft S/of Rodney St,"Brooklyn, NY"
8676196825,1/12/2019,38,88,88,0919A,E,Hanover Pl,12ft S/of Fulton St,"Brooklyn, NY"
8723262837,1/11/2019,21,90,90,0857A,E,Humboldt St,130ft S/of Maujer St,"Brooklyn, NY"
8711163021,1/14/2019,21,79,79,0846A,W,Sanford St,130ft S/of Willoughb,"Brooklyn, NY"
8671539258,1/14/2019,53,90,90,0937P,N,Ross St,130ft W/of Bedford A,"Brooklyn, NY"
8671028320,1/14/2019,21,90,90,0913A,N,Stagg St,130ft W/of Lorimer S,"Brooklyn, NY"
8611718562,1/14/2019,14,83,83,1146P,E,Vermont St,135ft N/of Cozine Av,"Brooklyn, NY"
8678223947,1/11/2019,21,90,90,1150A,S,Williamsburg St East,135ft W/of Lee Ave,"Brooklyn, NY"
8676196539,1/11/2019,21,90,90,1232P,E,Havemeyer St,13ft S/of Broadway,"Brooklyn, NY"
8676196527,1/11/2019,71,90,90,1230P,E,Havemeyer St,13ft S/of Broadway,"Brooklyn, NY"
8610241439,1/11/2019,14,88,88,0211P,S,Fulton St,140ft E/of Adelphi S,"Brooklyn, NY"
8723262850,1/11/2019,21,90,90,0858A,E,Humboldt St,140ft S/of Maujer St,"Brooklyn, NY"
8711163033,1/14/2019,21,79,79,0847A,W,Sanford St,140ft S/of Willoughb,"Brooklyn, NY"
8651440480,1/11/2019,61,90,90,0112P,S,Fleet Pl,14ft E/of Willoughby,"Brooklyn, NY"
8678224265,1/14/2019,14,83,83,1158A,W,St Nicholas Ave,14ft N/of Jefferson,"Brooklyn, NY"
8725067229,1/12/2019,21,88,88,0436A,N,Park Ave,150ft E/of Navy St,"Brooklyn, NY"
8711163045,1/14/2019,21,79,79,0848A,W,Sanford St,150ft S/of Willoughb,"Brooklyn, NY"
8714727596,1/12/2019,14,90,90,0001A,S,Williamsburg St West,150ft W/of Bedford A,"Brooklyn, NY"
8714729015,1/14/2019,20,90,90,0847P,N,Williamsburg St East,150ft W/of Bedford A,"Brooklyn, NY"
8539023933,1/14/2019,40,94,94,0204P,N,N 5th St,152ft E/of Kent Ave,"Brooklyn, NY"
8711163057,1/14/2019,21,79,79,0849A,W,Sanford St,155ft S/of Willoughb,"Brooklyn, NY"
8717800948,1/14/2019,14,79,79,0554P,N,Cleveland St,15ft E/of Barbey St,"Brooklyn, NY"
8708935798,1/12/2019,40,94,94,0419P,N,N 11th St,15ft E/of Berry St,"Brooklyn, NY"
8702772577,1/14/2019,21,94,94,0954A,S,Oak St,15ft E/of Franklin S,"Brooklyn, NY"
8696514816,1/14/2019,21,79,79,0814A,N,Bedford Ave,15ft E/of Fulton St,"Brooklyn, NY"
8611202788,1/11/2019,51,90,90,0311P,S,Walton St,15ft E/of Harrison A,"Brooklyn, NY"
8723263430,1/12/2019,38,83,83,0926A,N,Stockholm St,15ft E/of Knickerboc,"Brooklyn, NY"
8535588360,1/14/2019,21,81,81,0829A,S,Howard Ave,15ft E/of Macon St,"Brooklyn, NY"
8702771690,1/11/2019,21,90,90,1126A,S,Heyward St,15ft E/of Marcy Ave,"Brooklyn, NY"
8578348758,1/14/2019,38,90,90,0446P,W,Havemeyer St,15ft N/of Brooklyn A,"Brooklyn, NY"
8702773120,1/14/2019,20,94,94,0216P,E,Provost St,15ft N/of Green St,"Brooklyn, NY"
8728704680,1/14/2019,21,79,79,1142A,W,Skillman St,15ft N/of Lafayette,"Brooklyn, NY"
8535588541,1/14/2019,21,81,81,0938A,W,Jefferson Ave,15ft N/of Malcolm X,"Brooklyn, NY"
8539023921,1/14/2019,40,94,94,0201P,E,Wythe Ave,15ft N/of N 5th St,"Brooklyn, NY"
8705075099,1/11/2019,21,94,94,1139A,W,Meeker Ave,15ft N/of N 7th St,"Brooklyn, NY"
8611690941,1/14/2019,71,94,94,0159P,E,Driggs Ave,15ft N/of Union Ave,"Brooklyn, NY"
8676196734,1/12/2019,14,88,88,0759A,E,Fleet St,15ft N/of Willoughby,"Brooklyn, NY"
8722756772,1/12/2019,14,94,94,1227P,W,N 8th St,15ft S/of Bedford Av,"Brooklyn, NY"
8716119174,1/14/2019,14,94,94,0623P,W,Berry St,15ft S/of N 7th St,"Brooklyn, NY"
8716118613,1/13/2019,17,79,79,1122A,E,Spencer St,15ft S/of Park Ave,"Brooklyn, NY"
8533532544,1/11/2019,14,90,90,1230P,W,S 5th St,15ft S/of Rodney St,"Brooklyn, NY"
8714728977,1/14/2019,40,90,90,0829P,W,Wythe Ave,15ft S/of S 11th St,"Brooklyn, NY"
8696033176,1/12/2019,71,81,81,0627A,W,Macdougal St,15ft S/of Saratoga A,"Brooklyn, NY"
8594440844,1/11/2019,14,90,90,0122P,E,Moore St,15ft S/of White St,"Brooklyn, NY"
8611631316,1/13/2019,62,88,88,1224P,E,Fleet Pl,15ft S/of Willoughby,"Brooklyn, NY"
8611631304,1/13/2019,62,88,88,1223P,E,Fleet Pl,15ft S/of Willoughby,"Brooklyn, NY"
8725657203,1/12/2019,20,83,83,0849A,E,Stanhope St,15ft S/of Wyckoff Av,"Brooklyn, NY"
8717800882,1/14/2019,71,79,79,0402P,N,Blake Ave,15ft W/of Autumn Ave,"Brooklyn, NY"
8702772644,1/14/2019,40,94,94,1036A,S,N 10th St,15ft W/of Bedford Av,"Brooklyn, NY"
8539023982,1/14/2019,14,94,94,0308P,N,N 4th St,15ft W/of Bedford Av,"Brooklyn, NY"
8539024019,1/14/2019,20,94,94,0318P,N,N 4th St,15ft W/of Berry St,"Brooklyn, NY"
8539024070,1/14/2019,20,94,94,0503P,S,N 4th St,15ft W/of Berry St,"Brooklyn, NY"
8533532581,1/11/2019,14,90,90,0414P,S,Roebling St,15ft W/of Broadway,"Brooklyn, NY"
8699415874,1/14/2019,40,90,90,0325P,S,S 2nd St,15ft W/of Driggs Ave,"Brooklyn, NY"
8694640387,1/12/2019,14,90,90,1011A,S,Debevoise St,15ft W/of Graham Ave,"Brooklyn, NY"
8714755336,1/12/2019,38,83,83,1053A,N,Stockholm St,15ft W/of Knickerboc,"Brooklyn, NY"
8650344860,1/12/2019,38,83,83,0152P,S,Stockholm St,15ft W/of Knickerboc,"Brooklyn, NY"
8650344847,1/12/2019,38,83,83,0138P,S,Himrod St,15ft W/of Knickerboc,"Brooklyn, NY"
8650344719,1/11/2019,14,90,90,0408P,S,S 5th St,15ft W/of Marcy Ave,"Brooklyn, NY"
8691642063,1/14/2019,14,81,81,0355P,N,Troutman St,15ft W/of St Nichola,"Brooklyn, NY"
8724655740,1/14/2019,21,94,94,1158A,S,Meeker Ave,160ft W/of Manhattan,"Brooklyn, NY"
8676196801,1/12/2019,11,88,88,0905A,N,Schermerhorn St,17ft W/of Nevins St,"Brooklyn, NY"
8714729003,1/14/2019,14,90,90,0844P,N,Williamsburg St East,180ft W/of Bedford A,"Brooklyn, NY"
8714728990,1/14/2019,70,90,90,0842P,S,Williamsburg St East,180ft W/of Bedford A,"Brooklyn, NY"
8676196928,1/14/2019,40,90,90,0850A,W,Wythe Ave,1ft S/of S 10th St,"Brooklyn, NY"
8670484171,1/12/2019,71,90,90,1112A,W,Olive St,1ft S/of Sharon St,"Brooklyn, NY"
8725067230,1/12/2019,21,88,88,0437A,N,Park Ave,200ft E/of Navy St,"Brooklyn, NY"
8705973030,1/14/2019,20,79,79,0159P,W,Sanford St,200ft N/of Willoughb,"Brooklyn, NY"
8714727560,1/11/2019,14,90,90,1151P,N,Williamsburg St East,200ft W/of Bedford A,"Brooklyn, NY"
8634762907,1/11/2019,40,88,88,0633A,S,Myrtle Ave,200ft W/of St Edward,"Brooklyn, NY"
8725067266,1/12/2019,21,88,88,0440A,N,Park Ave,200ft W/of St Edward,"Brooklyn, NY"
8709667210,1/14/2019,61,83,83,0218P,S,Schaefer St,200ft W/of Wyckoff A,"Brooklyn, NY"
8701817413,1/11/2019,21,90,90,1215P,S,Ross St,20ft E/of Bedford Av,"Brooklyn, NY"
8701817401,1/11/2019,21,90,90,1212P,S,Rodney St,20ft E/of Bedford Av,"Brooklyn, NY"
8578348692,1/14/2019,38,90,90,0308P,S,Havemeyer St,20ft E/of Broadway,"Brooklyn, NY"
8711162820,1/11/2019,48,79,79,1145A,N,Throop Ave,20ft E/of Greene Ave,"Brooklyn, NY"
8538174060,1/11/2019,20,94,94,0151P,S,Berry St,20ft E/of N 4th St,"Brooklyn, NY"
8722756875,1/12/2019,70,94,94,0328P,N,Driggs Ave,20ft E/of N 8th St,"Brooklyn, NY"
8725067199,1/12/2019,21,88,88,0431A,N,Park Ave,20ft E/of Navy St,"Brooklyn, NY"
8715522519,1/12/2019,40,81,81,0616A,N,Macon St,20ft E/of Stuyvesant,"Brooklyn, NY"
8638198735,1/11/2019,21,94,94,0843A,S,Frost St,20ft E/of Union Ave,"Brooklyn, NY"
8692594209,1/14/2019,53,90,90,0640A,W,Kent Ave,20ft N/of Broadway,"Brooklyn, NY"
8696032901,1/12/2019,21,88,88,0437A,E,Park Ave,20ft N/of Clinton Av,"Brooklyn, NY"
8711162806,1/11/2019,19,79,79,1139A,E,Throop Ave,20ft N/of Gates Ave,"Brooklyn, NY"
8696032925,1/12/2019,70,88,88,0440A,E,Park Ave,20ft N/of Hall St,"Brooklyn, NY"
8696032913,1/12/2019,21,88,88,0440A,E,Park Ave,20ft N/of Hall St,"Brooklyn, NY"
8581008215,1/11/2019,14,79,79,0651P,E,Nostrand Ave,20ft N/of Lexington,"Brooklyn, NY"
8611631493,1/14/2019,20,94,94,0217P,E,Berry St,20ft N/of N 4th St,"Brooklyn, NY"
8539023969,1/14/2019,20,94,94,0250P,E,Wythe Ave,20ft N/of N 4th St,"Brooklyn, NY"
8670484330,1/14/2019,21,94,94,0807A,W,Wythe Ave,20ft N/of N 6th St,"Brooklyn, NY"
8714727456,1/11/2019,14,94,94,0913P,E,Kent Ave,20ft N/of N 8th St,"Brooklyn, NY"
8686776607,1/11/2019,21,90,90,0307A,E,Kent Ave,20ft N/of Rodney St,"Brooklyn, NY"
8696032895,1/12/2019,21,88,88,0434A,E,Park Ave,20ft N/of Vanderbilt,"Brooklyn, NY"
8715522568,1/12/2019,40,81,81,0700A,E,Willoughby Ave,20ft S/of Bushwick A,"Brooklyn, NY"
8705075830,1/14/2019,14,90,90,1250P,W,Williamsburg St West,20ft S/of Division A,"Brooklyn, NY"
8722756735,1/12/2019,70,94,94,1038A,W,N 12th St,20ft S/of Driggs Ave,"Brooklyn, NY"
8696032883,1/11/2019,21,79,79,0930A,E,Putnam Ave,20ft S/of Franklin A,"Brooklyn, NY"
8723757668,1/11/2019,14,79,79,0419P,E,Nostrand Ave,20ft S/of Greene Ave,"Brooklyn, NY"
8725657446,1/12/2019,14,83,83,1033A,E,Knickerbocker Ave,20ft S/of Greene Ave,"Brooklyn, NY"
8714727468,1/11/2019,19,94,94,0921P,E,West St,20ft S/of Kent St,"Brooklyn, NY"
8705972590,1/12/2019,10,94,94,1051A,W,West St,20ft S/of Kent St,"Brooklyn, NY"
8723262760,1/11/2019,21,90,90,0842A,E,Humboldt St,20ft S/of Moore St,"Brooklyn, NY"
8611631584,1/14/2019,38,94,94,0423P,W,Bedford Ave,20ft S/of N 5th St,"Brooklyn, NY"
8689805266,1/14/2019,38,83,83,0529P,E,Broadway,20ft S/of Park St,"Brooklyn, NY"
8671539234,1/14/2019,40,90,90,0900P,E,Lee Ave,20ft S/of Ross St,"Brooklyn, NY"
8705075166,1/11/2019,21,94,94,1148A,W,Meeker Ave,20ft S/of Union Ave,"Brooklyn, NY"
8638492728,1/14/2019,62,88,88,0131P,E,Fleet Pl,20ft S/of Willoughby,"Brooklyn, NY"
8650345025,1/14/2019,62,88,88,0135P,E,Fleet Pl,20ft S/of Willoughby,"Brooklyn, NY"
8711162971,1/14/2019,21,79,79,0840A,W,Sanford St,20ft S/of Willoughby,"Brooklyn, NY"
8650345013,1/14/2019,62,88,88,0130P,E,Fleet Pl,20ft S/of Willoughby,"Brooklyn, NY"
8638492730,1/14/2019,62,88,88,0135P,E,Fleet Pl,20ft S/of Willoughby,"Brooklyn, NY"
8668549662,1/12/2019,71,90,90,1032A,W,S 11th St,20ft S/of Wythe Ave,"Brooklyn, NY"
8668549650,1/12/2019,74,90,90,1029A,W,S 11th St,20ft S/of Wythe Ave,"Brooklyn, NY"
8711273574,1/11/2019,20,90,90,1156P,N,Williamsburg St East,20ft W/of Bedford Av,"Brooklyn, NY"
8701817711,1/14/2019,21,90,90,0927A,N,S 5th St,20ft W/of Bedford Av,"Brooklyn, NY"
8702772012,1/11/2019,14,90,90,0157P,N,Varet St,20ft W/of Bogart St,"Brooklyn, NY"
8676739316,1/14/2019,70,83,83,0511P,S,Marcus Garvey Blvd,20ft W/of Broadway,"Brooklyn, NY"
8715574544,1/14/2019,21,81,81,1106A,N,Stockton St,20ft W/of Broadway,"Brooklyn, NY"
8721815240,1/14/2019,17,83,83,0744A,N,Covert St,20ft W/of Central Av,"Brooklyn, NY"
8694640405,1/12/2019,14,90,90,1054A,S,Debevoise St,20ft W/of Graham Ave,"Brooklyn, NY"
8695487611,1/14/2019,14,90,90,0250P,S,Debevoise St,20ft W/of Graham Ave,"Brooklyn, NY"
8676738403,1/12/2019,40,94,94,0104P,S,Milton St,20ft W/of Manhattan,"Brooklyn, NY"
8578348710,1/14/2019,14,90,90,0406P,S,S 5th St,20ft W/of Marcy Ave,"Brooklyn, NY"
8725067321,1/12/2019,21,88,88,0450A,N,Park Ave,20ft W/of N Portland,"Brooklyn, NY"
8723758405,1/14/2019,82,90,90,0607P,S,Randolph St,20ft W/of Stewart Av,"Brooklyn, NY"
8711162880,1/11/2019,21,81,81,1256P,S,Vernon Ave,20ft W/of Stuyvesant,"Brooklyn, NY"
8715574611,1/14/2019,21,81,81,1206P,N,Vernon Ave,20ft W/of Stuyvesant,"Brooklyn, NY"
8535587275,1/11/2019,20,90,90,0719A,S,Marcy Ave,20ft W/of Walton St,"Brooklyn, NY"
8723757607,1/11/2019,70,83,83,0212P,S,Covert St,20ft W/of Wyckoff Av,"Brooklyn, NY"
8692649818,1/14/2019,46,81,81,0137P,S,Pulaski St,220ft W/of Stuyvesan,"Brooklyn, NY"
8691641423,1/12/2019,14,79,79,0124P,W,Nostrand Ave,22ft N/of Park Ave,"Brooklyn, NY"
